gene	rep1	rep2
BLCAP	-2.4231201918	-1.9209744134
ALPK1	-2.4181316611	-1.688033112
PPT1	4.0947523867	3.7512268469
PRCC	-2.5469603279	-2.003579161
MIF	-0.3466201384	-0.4160484309
MPC1	-0.0938273997	-0.1794329599
GNAI3	-0.3650272205	-0.1219785397
PTTG1	2.2762676362	2.1017099045
TTYH1	-4.1781575172	-3.4451854609
TMEM97	0.7801593217	1.1929069447
DDAH2	-1.3420931674	-0.6218430204
PRPF4B	-0.5445806732	-0.6936402954
TSR2	0.56693796	0.7561513081
EDEM1	1.4974852408	0.6636090547
LRMP	-0.6596914798	-0.4610815583
C1QTNF8	0.8147871716	-0.3611244511
NUF2	0.9900986501	0.9667243098
XPOT	-1.9740145434	-3.4055705049
SOD1	-4.4879434509	-4.084660632
ZNRD1	-2.9828908609	-2.9393438545
LNP1	1.2941570055	1.5617551049
WNK4	0.844282679	1.1238370389
TMEM44	0.2038485801	-0.4083250032
RRP1	-2.2718146933	-2.1392765922
FAM98A	-0.6531583818	-0.6522730356
TTC23L	0.1491347228	-0.4027966825
ESD	-1.2806214445	-0.7909607171
NANOG	-1.2231508592	-1.4609021251
GPBP1L1	-3.2713374249	-3.0597162891
AURKAIP1	2.3473662252	2.438460391
PCBP2	-0.8320410784	-0.7482351781
HEXIM2	0.3827601153	0.4806850209
ENTPD7	-2.7491246386	-3.7765468695
CAGE1	-0.3258386801	0.1952700996
PDCL2	-2.5631168338	-3.1456756045
EBAG9	-0.3526373698	-0.0266562974
HEMGN	1.8471033251	2.6068024226
NOB1	3.0109374224	2.9776768659
PIM3	-0.6721071631	-0.377764198
SCUBE1	2.4542232886	2.5802180054
THRAP3	1.2831123435	1.5556077358
ISCA2	1.1784734402	1.0829248118
TEX12	2.6916128537	2.1744978996
FIBIN	-2.3402375902	-0.9255967177
ELOF1	-0.1716965096	-0.5093704642
CANT1	1.151378557	1.3803855504
PERP	-0.7793711933	-0.494418679
CUL2	-1.6208688886	-1.2688441308
CRYBG3	-1.7740278063	0.1373018368
APMAP	0.6417476027	0.6270905938
EPDR1	0.4410228461	0.6523931085
CUTC	-0.9681361735	-0.4769197233
PACS1	-1.0952196575	-0.6286966512
PDK2	-1.5418330923	-1.1456515683
PRRC2C	-2.1285101896	-1.5958425262
SBNO2	-1.6331851047	-1.6581900451
SSR2	0.6816688363	0.6842507658
PTRHD1	-1.726467455	-1.2060876383
CYHR1	-1.5417362971	-0.953461787
PLOD2	-0.1692670447	-0.5343574335
SPSB4	0.0463035196	-0.198473537
CDYL2	-3.1719486088	-1.1839929066
NXPE4	-1.7961356242	-0.8059027141
MCPH1	2.2550797755	2.8418239329
KREMEN2	-0.6741242694	-0.7203452345
SBK2	2.9952771001	2.9146244238
SPARC	3.0561323586	2.7821681704
EIF1AY	-0.146033304	-0.1394162552
LSM12	0.1729283368	-0.0669090863
FAHD2A	-0.0743050732	-0.0288924561
UBB	-0.1017579193	0.1802844631
DOT1L	2.0142977671	2.3651476358
LENG8	-0.6174024156	-0.997055237
TNIK	-0.7357493603	-0.993507657
POLR3GL	-0.7357493603	-0.993507657
DCLK3	0.4346714954	-0.1562683544
SF3B1	-0.1752390767	-0.1884221859
SSX4	-1.552432782	-1.5943054303
VWDE	1.0271910092	1.2182420601
HIST1H2BL	2.7022154948	2.8993118218
PRKAR2B	0.0047245617	0.7335216218
AP3B2	-1.2098877853	-2.2821594288
WIPF1	-1.2359261429	-0.9865045178
EDC4	0.9081950673	0.8074333467
BUD13	2.1968569649	2.2406853487
C1QTNF2	-1.019795654	-0.8968548692
BCDIN3D	-2.7016554377	-2.1535286477
MFAP1	0.1023799894	-0.6077659956
EED	1.7447827718	1.4774422384
CSN1S1	-1.0324010877	-0.8807346635
TAGLN3	1.1037983889	1.1284723079
ELANE	-1.6136489588	-1.1392683392
FGFBP2	0.3014721781	0.032750179
SOX2	-0.0079123308	-0.3625032749
DYRK4	-1.2372785069	-1.2630644819
FLAD1	2.9432958483	3.372220609
TWF2	-0.0282750578	0.3210259388
SHMT1	-0.9733502764	-0.4030575481
TDP2	-0.574523872	0.0829432266
ITPKC	0.2338750374	0.1491089192
RRAGB	0.799192235	0.6656125226
TP53TG3D	0.6345586891	0.285692435
IMPACT	-1.946302069	-1.0081549563
MIIP	0.1905066784	0.4826028025
NEU3	1.4683674623	1.8261602428
LEF1	2.5873899128	3.1595574457
DET1	0.6867880406	0.9026651342
RNMT	1.2979250729	1.0945803571
ACTR3C	-0.3919255733	-0.247478119
TBPL2	0.6736764899	-1.0529076333
CNPY4	-0.1871320998	0.5427972727
IHH	-1.1840130269	-0.6157387581
F11	-2.2701699235	-2.0137792842
ERGIC2	-2.2458108837	-1.784765767
TMEM50A	-0.8313234011	-1.7174769911
TPD52	-0.4459385307	-1.1908123518
IRF6	4.241893212	-0.605519988
SH3BP5L	1.573370442	1.6698117129
CWC25	1.573370442	1.6698117129
CEP95	1.12750875	1.2091714779
SRL	1.8025760803	0.8806238927
C1QL3	5.3136170678	4.2795992474
TNIP1	0.6736764899	-1.0529076333
TRAM1	-1.0227327868	-0.9389050983
COLQ	1.7516213287	0.8962118896
NOL4	-1.0227327868	-0.9389050983
NAV3	-1.1840130269	-0.6157387581
APEX1	0.6736764899	-1.0529076333
GMCL1P1	0.4542177186	0.7537934228
HEATR4	0.6736764899	-1.0529076333
SFT2D2	-1.0227327868	-0.9389050983
CLTC	-1.1840130269	-0.6157387581
LRTOMT	-1.45274772	-0.5999711904
GAGE12C	0.9622256741	0.5238794881
AVPI1	-4.0598349785	-3.816864055
DPM2	-3.7168994657	-3.1630458543
CEP57L1	-1.6680600911	-1.6589486828
PGBD1	-0.3325920631	-0.7425985301
CDK5R2	1.1792001406	0.9777989824
SEC24A	1.0038464547	1.0129464837
TCP11L2	0.3954385491	0.8232738088
NHS	-0.5596585284	-0.9622073788
NCAPG	-4.3232525569	-4.6517372441
PRRC2B	-3.9912516302	-4.2329520687
EGLN2	-0.4829863292	0.0285293708
LURAP1	-0.984421097	-1.7337304606
BABAM1	1.7412171718	0.4479885848
ELOVL4	-0.2617448452	0.1539412199
ZNF280B	-1.9976754134	-1.422921503
RUNDC3B	-0.7183363728	-0.6758958978
BCO2	-1.313516112	-1.576446294
PROCA1	1.6488874397	1.7561533036
PRR14	-2.9657478095	-2.6536186156
NOL4L	0	-0.1126142408
CTU1	1.7143884327	2.2516436896
MPPE1	0.7898076355	-0.0170806766
SEMG1	-0.6044899047	-0.6809041675
TFF1	-0.5698956263	-0.8327362713
ADPGK	-0.8137697317	-0.6082012885
TEX36	-0.450279319	-0.2712093599
MFN1	-0.676039418	-0.3862611357
MOGS	0.0957082334	-0.1034038978
TSSK2	-0.1091145276	-0.4267447974
SCAND1	-1.8963197082	-2.0483727631
SPARCL1	2.5840880041	1.557554001
CSMD1	-0.2625851073	-0.5266181534
INTS7	-1.040893862	-1.0388211312
GINM1	-2.035022422	-1.6498339164
TSN	-0.1176392866	-0.977348015
LDLRAD4	0.2462101453	-0.3488670056
PDK3	2.1683525091	3.2264639646
XPO6	-3.7853425459	-2.8527973231
TRAM2	-0.6282437227	-0.417761324
WIPF3	-1.5580777295	-0.981433753
RINT1	1.2736486291	1.8233180056
ADSL	1.3361498785	0.9367754037
RAD50	-2.4415392042	-2.8279416208
FAHD2B	1.8648352688	1.8957748488
MPST	0.6014020312	0.8208316265
VAT1L	-0.360635671	-1.2931742976
RNPEPL1	1.8669179382	1.4655255271
ORMDL2	-0.0763004526	-0.4324988736
GMNN	0.0877475968	-0.3464445942
STK3	-0.6690834857	-0.1342182129
CDIP1	0.1576746934	-0.3597033278
COQ10B	1.1768901512	-0.6533820285
PCYOX1	0.4369983342	-0.0549764332
FAM90A1	-0.5940154071	-0.0228504995
ETF1	-0.3713882927	0.8131722562
CCDC174	0.3535964599	0.5146591549
THNSL1	1.2384932942	0.973682587
RIPPLY3	-0.4144235034	-0.2199115875
LDLRAD3	0.3899547848	-0.7035682829
ITIH1	2.0523775337	-0.8004745713
CCDC79	-0.8575765411	-0.6582750464
MZT2A	-0.8516361773	-0.7416771318
AXIN2	0.1611279544	1.8427760553
ADCK5	0.2084047588	-0.2117023739
LUZP1	-1.664464205	-1.1765969508
HEATR5B	-1.5816496362	-1.1529733248
TCEA3	0.7284250403	0.2024170783
TEX2	-0.8381636162	-1.4691150028
PLOD3	-2.1084304222	-0.9323593034
ACOX2	-1.3903479013	-1.724989921
SMIM19	-3.8152638523	-2.8162021005
GLB1L2	-1.6973483183	-1.7780838681
RABEPK	0.8423114524	-0.1652120706
IMP3	-0.5168556344	-0.9076121085
NEK3	-0.7696283028	1.2063640871
RLBP1	2.5432948902	2.4815755989
WIF1	1.7425284237	1.4864347981
LOXL1	-1.5425205272	-0.6195364405
SMAD3	1.1021328742	1.1247826853
AP1AR	0.3241701179	0.5867503008
TRIAP1	-0.2077958117	-0.3137799196
SERINC5	1.2358921557	1.0978487727
OBFC1	-2.5557175328	-1.197182031
NXF1	-2.0842522259	-2.5265428831
RGS7BP	0.6919422598	0.7089328926
ODF3L1	1.6988648786	1.8558710347
N4BP2	3.0722378007	3.46648187
DMTN	-3.0842685209	-2.5505573543
SUPT20HL2	-1.9401097275	-1.5675318161
USB1	0.7865370356	0.2330999736
MFSD13A	1.9554472053	1.9208372349
CLTA	2.6285468046	2.5807170396
ZNF346	2.6615508703	2.6690229483
BRK1	3.4725117503	3.5281579549
H3F3C	2.7827095484	3.4258121687
DNTTIP2	2.0817213004	1.9827620699
RAB40AL	1.9404237585	2.6537792195
MSLN	4.0290995774	3.8912828925
PNISR	4.4093077244	4.5921475701
AP1S1	7.0902280052	4.1046779237
STRIP2	3.5108781154	3.4218614051
YBEY	3.5310016702	4.1454917326
TCP11	2.9100919223	3.4501949947
PNO1	3.1594961766	3.4039998242
GATSL2	3.1674164838	4.2628690996
GBE1	2.7789349705	2.7189577897
AIMP1	3.4900869456	3.5196694207
SPOCK1	3.0032872591	2.6886242803
UNC80	3.3961857438	4.1638810053
DDN	2.2325234677	2.4162750736
SF3B6	1.0811146341	1.0321110791
H2BFS	3.6421665969	3.8495772038
SBK1	1.3709314332	1.4826860415
WDR47	2.9527414127	2.788756912
HIST3H2A	2.2716690586	2.0392816479
USP6NL	0.2597026077	1.1317398467
DOPEY1	1.6716655323	2.1934613507
ABT1	3.1700948011	3.2224694261
HIST1H3I	3.4690897989	3.5184968017
CCDC17	0.0380884608	0.3321660288
NHSL1	0.3784741934	0.9269044017
HEXB	1.7675141622	2.4547718441
SPA17	0.2836772777	0.4690437838
ZNF804A	-1.5822249641	-0.9694242477
TEFM	-3.5605634821	-2.9787479271
PHAX	2.6014221457	2.7163195175
LUC7L3	-0.400872394	-0.026393596
ST13P4	0.1751207338	2.0635142441
FAM26E	0.1455200997	0.3802574481
SF3B2	1.1830492214	1.5232039227
PLN	1.9036764818	1.9921402235
SPIRE2	2.1482118229	2.0991812022
PROM2	2.1737066869	2.0307154654
FBLL1	0.9658446507	1.6603916823
NBN	-1.8859200575	-1.0729832802
XRN2	-2.03824488	-1.5931733301
RIPPLY1	-2.4271682343	-1.6863237664
PHKG1	4.3144288842	4.003066507
APLP2	2.7644490772	3.0875094435
TAF9B	1.2962348121	1.830283854
AP5Z1	-2.095166844	-1.9351433202
DHCR24	-0.702159706	-0.4600767962
TFF2	-3.6327955798	-3.5329718768
NACAD	-0.6253637043	-0.168046062
ERO1A	1.0021307855	1.6394297168
STK39	-1.3775989895	-1.0501970375
GOT1L1	-1.6455433582	-1.265390867
HIPK1	3.7595472099	3.7557414348
FCER1G	-1.4134662585	-1.8046835093
LRRC1	0.214863853	0.5536002122
EEF1A1	1.0670537779	0.5563777772
SS18	3.336106063	3.2745209006
MLF2	-1.4146431541	-1.2991242111
AMER1	-1.8234837727	-1.2600444583
FAAP100	-0.4776640964	-0.7576765041
FMN1	-0.7418440279	-1.5338046352
TEX33	-2.731954017	-3.0523934899
RNH1	-0.1567444264	-0.0678429926
TMEM14C	-0.1274735983	-1.2982870083
TMEM248	-0.0938273997	-0.1794329599
AUTS2	-1.077203362	-0.9207798411
AP5S1	-2.9737995708	-2.3850925355
ODF3L2	-3.3191920844	-2.7732457476
BAHD1	-2.1915744501	-0.8903869744
CSNK2B	-0.4926390955	-1.0759880751
AUNIP	-2.0490036117	-1.9062900695
PHKA1	-0.7631465867	-1.2624416046
GUF1	-1.3681794331	-1.8933293623
GATA1	-0.7634377195	-2.1560316352
TMUB1	-1.6191942253	-1.0213955079
SUGCT	-1.8583756905	-1.3869228658
EIF1AD	-1.3707231528	-0.9810445705
CRCP	-0.8658346037	-0.4368205335
LRRC40	0.6470456624	0.9300234598
ASRGL1	1.4859091337	1.4255891979
RRM2B	1.5402311337	1.5970379287
GPI	0.3362481728	0.8674380506
SMARCA2	0.1446041477	-0.5912264484
GTF2H2C	0.2065378384	0.6126250496
COQ5	-4.3041658597	-4.9171958853
ZNF326	-1.2102569859	-1.6967417881
LACE1	0.5240214479	0.651384374
FOXRED2	-0.5940460701	-0.2750833825
PAPSS1	0.0964630093	0.7045331871
CYB5R1	0.3828270815	0.4653091206
PCNX3	-2.1904357354	-2.57244225
SMIM17	0.6623382808	0.7075891644
PROSC	-2.602083539	-1.5733459844
FAM83D	0.3588369002	0.2793093276
MSL3	1.6616456945	1.6874724584
B4GAT1	2.3547185647	2.0366412006
KLHDC8B	-1.014471048	-1.6135507907
SNCB	-0.5380553277	-0.6846602546
TYMSOS	-0.360375935	1.1097910043
SEC24D	-2.1960136851	-1.7482503292
TMEM9	0.3483163253	-0.6977218945
CNDP2	-4.8153901583	-5.345373325
PRPF31	-1.691301057	-1.0430347024
DCDC2B	-1.7266830935	-1.7335408511
NEDD4	0.7573789704	0.7663916656
PPP4R3A	0.4357880953	0.4573995508
PDZK1IP1	-1.6173259591	-0.9364565563
SRPK1	-2.9585547662	-3.0654284499
TNIP3	-0.9149064685	-1.662955235
TM4SF4	-0.7026741932	-1.0959158919
RALGAPA2	-0.5555592985	-0.4519217406
SFTPB	-1.5428743292	-2.2113033198
NPL	-2.0707269945	-1.9066704386
ACY3	0.0279996653	0.016789579
FRA10AC1	-1.1320619521	-0.0282160904
CENPH	-0.2794947539	-0.6150408313
CTSV	-4.2098765381	-4.1377573947
AASS	2.5139022239	2.8903392671
PGR	-4.1781575172	-3.4451854609
PYCR2	-3.4756028691	-3.2573654174
M1AP	-1.9997078461	-2.0418779126
THEMIS	-1.0500132084	-0.8431191692
KDELR1	1.2468307107	1.5383246991
NCLN	-1.8447363632	-1.9278051986
NUPL2	0.4775604303	0.4429969235
FUK	-1.8288651264	-1.1343847021
ETFDH	0.2248504772	0.6812027276
PP2D1	-3.0863372281	-2.7224542189
TCEB3CL2	-0.273626944	-0.4399874325
AVL9	0.9348319329	0.5734156182
AMOTL2	2.6463944417	1.3025141105
XPO1	-2.8206137292	-2.7489374413
TMEM204	-1.2543082829	-0.804901056
CCDC85A	-3.0046490423	-2.4870499039
SHH	1.5126234735	2.2536661382
PDDC1	1.6457284494	1.9121046533
HCLS1	2.2614404153	2.3429610445
NOCT	0.8826045495	0.8675746412
DLGAP5	-0.8208699526	-0.2916266391
TKTL2	2.4143369821	2.4497257136
JPH2	-0.893219296	-0.2131670468
RSPH6A	0.0108287065	0.8189433993
FXR1	4.426214794	4.5358422294
ACYP1	-0.8874784397	-0.9058793527
MAP1S	4.2088609167	3.7562050754
GCFC2	0.8236866341	1.1644981038
DPCR1	5.5790060925	5.5692332476
SPOCK3	4.4765938851	4.8498920669
H2BFM	4.2868057931	4.2971696147
XRCC5	4.1360476206	3.9579669287
CRNKL1	4.3318563125	4.2537695511
KPTN	4.623130599	4.4047651028
TOR4A	4.5453067382	4.8950011006
VIMP	3.68888845	3.5681452778
NIM1K	4.4579195934	4.4488437396
GLB1L3	1.9339319322	1.8019153907
STXBP3	2.2444962232	2.3570884362
NFXL1	2.8434917245	2.6188934219
MUSTN1	3.1257180388	2.8403720755
ASTE1	2.1990674553	2.7235809528
SREK1IP1	2.0341714049	2.9006513652
MOK	3.194579324	3.8009683097
TICRR	3.9478936991	4.3158300751
SRFBP1	3.3616384318	3.4096209347
H1FX	3.5294299596	3.5494248027
NCKAP1L	3.2631800446	3.601342076
PKIA	4.3368924796	5.203151138
TBC1D13	3.0446356303	3.2253941171
IDO1	3.7560451541	3.7300813643
MORN1	3.1732157738	3.8100971818
DSCC1	4.0307058611	3.9074526294
MPI	3.6761932264	4.248914267
L1TD1	3.232461561	2.7950203553
MECR	2.4155540914	2.9774920397
MSRA	4.3096491423	4.2777915357
OPA1	4.4379071365	4.5941634541
GAGE2D	4.0368373622	4.0365680652
TXNDC9	4.7468447964	5.2312913372
TUFM	3.9825185885	4.1063163926
AGBL5	1.4245998321	1.5585217524
PDS5B	4.6255066019	4.8465703219
UFL1	3.0235788454	3.1240444397
PRKACA	0.2856362851	0.9079851548
YRDC	0.3863450735	1.363404578
CERCAM	0.3706697484	0.8709546252
SIAE	-1.4313106439	-0.5011078022
IDI1	4.8505051627	4.8906276075
XAGE1A	3.3886221908	3.7164354942
CHEK2	1.684356	2.021671321
MUS81	2.6704613155	2.58367742
SPRTN	1.8501240994	1.7299610334
NAGA	3.6560362624	4.1148500537
TUBGCP4	1.6108644632	1.8691652963
LRRC18	3.8330524373	3.7047276054
HIST1H1E	3.8945139822	3.6473401688
FTCD	5.0548040145	4.9057062155
CENPT	4.0571914815	4.2548290921
TFPI	4.13351416	4.2069673604
GPRIN1	3.3561487405	3.4531028515
NELL2	2.762853131	2.8449845494
NEDD8	1.8157009723	1.9797863028
MFSD1	4.6302451343	4.352306306
AOC2	0.9162908052	1.8258163143
EEF1E1	3.0199518984	2.6604190544
MYADM	4.7588244437	4.2120243552
CARF	3.7977858081	3.534088199
HBEGF	3.1916641006	3.3341638562
QRICH1	3.0789711568	2.9141431969
THG1L	3.4765294301	2.9126139333
MTAP	3.5894340386	3.1077335335
GOT2	2.7343181431	2.5571429562
CRYGB	2.0570724528	1.9044358777
ATOX1	4.1039165395	4.2977863502
BTF3L4	2.8515518456	3.3199775433
P3H4	1.4391655779	1.4216428513
AHSP	-1.6942130836	-1.9794221714
HIST1H4K	2.564626947	3.0665394527
FNBP4	2.5831382203	2.3838432846
HPX	3.2455694947	3.3803871035
MAK	-3.3468646222	-3.2230632591
MCM10	1.292247867	1.5431560353
PYM1	1.9968673005	1.5171087416
NAV1	-1.4724000146	-1.6128962487
NADK	3.1610066889	3.1885904429
TGOLN2	-0.1267591981	0.0079755953
TRMU	0.0372795825	0.0693993576
TTBK1	-1.0511292026	-2.9895580151
PIH1D1	0.4553491664	0.8345592686
NRXN2	-1.3905820456	-1.4396194392
SZT2	-1.7885966873	-1.0735539808
CEP131	-0.6460764342	-0.3991449805
PAM	-1.838700919	-1.2921687774
FAM3A	-0.2017866408	-0.1592225425
THEM4	-1.1660961722	0.7024537149
CASC2	0.4556955368	0.9734468006
LARGE	-0.9736919563	-1.3812978736
NPRL2	5.1223034147	5.3977137317
SERP1	-2.1615564888	-4.0912401317
TNIP2	-2.7507525273	-2.7995726574
MTR	-3.5344141386	-3.240970609
MARK3	-3.9159547114	-3.8922766324
SYBU	-3.3502982558	-3.2637284526
CTSG	-4.3772462182	-5.1498775306
NNT	-2.9297549848	-3.4169128253
SRRD	-2.3512270315	-2.0307170249
GNMT	3.1604386562	2.4065090212
TNXA	-0.8113220234	-0.8636401692
SMOX	1.0975574804	0.2930660628
EBF4	-0.6682928208	-0.7025066156
TSPY8	-1.3130301375	-0.9665700112
IQUB	-1.4491233705	-0.9523929225
TM6SF1	-1.4296299694	-1.1154895664
CCDC93	1.0589038844	0.8796698362
TMEM135	1.0589038844	0.8796698362
RNASEH1	-1.2855174172	-0.4715508019
PET100	-1.542270374	-1.7962797937
LRRC37B	-2.1549499399	-2.1281761851
TMEM127	-1.2943053393	-1.0626390364
SUMF1	-2.3832116226	-2.2455422458
NIPSNAP1	-2.7755617753	-2.4213439241
NEMP1	-4.6250851088	-3.4277500383
SYCP3	-2.1145795746	-3.008061911
RSRC1	-4.9714831494	-4.1134308502
CCDC30	-2.3713281633	-2.3043455337
ECHDC3	-3.1133135467	-2.540580561
XPO4	-3.3373045314	-2.6807387244
ACAA2	-2.889206861	-3.395870176
MRE11	-4.6250851088	-3.4277500383
TP53	-0.1138861133	0.2024433424
SURF2	-1.8859158921	-1.9267786777
CAPRIN1	0.9000546753	0.8280367325
CFAP36	-1.1243371203	-1.0439047709
CHD8	-2.2047870179	-1.9071467199
CSE1L	-2.2131379481	-2.0359896662
UROC1	2.5574057931	2.6315247499
RHNO1	1.46837195	1.6024946689
MAD2L1	-1.796954658	-1.8134910961
PDPR	-0.1689872532	-0.1107920039
EXOG	0.2865733774	0.1951278758
NXPH2	1.2539260526	1.587948345
CAMKMT	1.4617865469	1.1658521087
XDH	2.8704430922	2.9171632832
EVC	1.2264373776	0.9969180278
NKAP	1.3924469004	1.1596221858
ABAT	-4.0949229235	-3.9697017981
SWI5	3.0408254288	3.026201592
FUNDC1	-0.4845637336	-1.3605098148
NCOA6	0.1013516801	-0.1004731595
MIPEP	-1.0565808335	-1.7314611131
CGB1	-2.1323639243	-1.8325242492
FGF12	0.3288949173	1.1223460883
PRAM1	-0.0223987434	-2.6416724153
OMP	-0.1675428896	-0.5497687703
MTCP1	-2.4895448983	-2.26565717
MARVELD3	-1.4742684572	-1.5924516971
WTAP	0.1913541357	0.5960056697
RANBP1	0.5416058539	0.6706278452
HDHD2	-0.1142752695	0.0622714877
MRTO4	-2.853117484	-2.3888295351
MTERF3	-0.6967740546	1.1001901284
HYAL1	-1.2681277161	-0.5674487794
VPS39	0.9786408711	1.1575266171
TP53I3	-0.9407513285	-0.2704705277
STK38L	-0.9407513285	-0.2704705277
RRAGC	-0.3813460519	-0.1879143579
ATL1	0.074564376	0.1261324538
AP1G1	0.7015867463	-0.0877860982
BMPER	1.1535752822	1.7437706438
ARPP19	-1.2695500219	-0.4820295206
PGAP1	-1.1773413387	-1.8889431863
SMCO3	-0.8405174088	-0.5537193214
TSACC	-0.2550904154	0.0485253365
MASTL	1.6595201931	1.0508205152
KLHDC2	1.8676158997	1.8317124789
ERH	1.3390299413	1.4668919506
PTMA	-0.5982746935	-0.7229784772
LEFTY1	-0.1103739769	-0.6764727736
SRGAP3	-2.6079241422	-2.1066102509
NOXA1	2.3551387428	2.9013153587
STRIP1	-0.2424950643	0.1247563789
PFN3	2.2258460812	1.6758353168
ENTPD4	-2.1012774547	-1.8452117012
CINP	-3.6385475375	-3.4069768172
BASP1	-0.3072701659	-0.8403109095
ENDOD1	-2.2341303708	-1.3928460818
GAA	-1.6331851047	-1.6581900451
CLSPN	0.4166790712	0.3735362647
RNASEH2A	2.9215689668	3.0221781942
KDELR3	-1.8123358291	-1.1663581496
NACA	-0.4977487952	-0.4952843175
LBH	-1.3150143049	-0.3681861634
FAM57B	-0.4743823674	-0.9647110711
GCKR	-0.7549097507	-0.5789728295
RIC3	-0.2135778191	-0.7047144994
OGDHL	-0.2918873829	-0.5550970276
SMARCA5	2.3530048565	1.2687691195
ABI3	-2.3277077271	-1.4170636493
SOGA3	-2.1068027943	-1.2454527201
SF3B3	-1.8953887379	-1.1707484392
PSAT1	-1.9472885252	-0.9965841702
DPYSL3	-2.0937857233	-1.5374064601
PQLC2	-1.3649612123	-1.4057870308
CSN3	-0.8580452196	-1.2699906937
MICALCL	0.2552320226	-0.1445346423
UEVLD	1.7079375281	1.6468526357
FTL	-0.2863602794	-0.6706653531
DMRTC2	4.1462115917	3.0604974034
SEL1L3	-2.3129292137	-2.1134674981
BZW2	0.6714936459	0.9135401312
MOXD1	-1.499838514	-1.3089819782
PIP4K2A	-3.6144601644	-3.5483919831
NUCKS1	-1.3492350689	-1.2094237081
NAPA	-0.8241107787	0.2245195711
CHRDL1	0.7022801039	0.554323608
TRAF3IP3	0.7188124691	0.8438706771
TCEB3CL	0.136619093	2.0541324838
MISP	0.3822064848	1.4235275826
NATD1	1.3534009404	1.8978800578
CBWD2	2.0768713517	1.7653596971
TLK2	0.4727331449	0.8188102478
SYS1	1.8729097078	0.8136786933
OPALIN	1.5081856323	1.3671519662
SWSAP1	2.8204575745	2.660669283
IMMP1L	0.9359928705	1.1923044011
EIF2B1	2.5006016123	3.1002923635
EXD1	0.7621126528	1.0742448832
ZFR2	-1.752639864	-1.43210997
AAR2	-2.3520955916	-2.1066529589
GDF6	-1.972308773	-1.723699306
VASH2	-2.4439251236	-2.3758793724
PTER	-1.6859419189	-1.4526374548
GNL2	-0.2457495185	0.6019392733
MFAP5	0.1869719724	0.2739387815
PRODH	1.271568216	1.989890625
DKKL1	-2.2924097001	-2.7249618639
CHAT	-3.2557220588	-4.0001312987
TTYH2	1.0893212077	1.4740606257
SLAIN2	-1.5018523548	-1.3587117277
CTSC	-1.147505099	-1.0415021032
AHSA1	-0.0496439427	-0.2642221873
GOT1	-0.818856557	-1.7999962733
LOXL2	-1.0286908763	-1.8548306871
FPGS	1.2046588908	0.7543408545
ATL2	-1.0286908763	-1.8548306871
DOLK	1.4548626597	1.3086058309
ECEL1	1.2075283171	1.1599165519
RGL3	1.4048240079	1.5497486258
HIST1H2BL	1.4322505253	1.2025079832
EBF3	-3.043199384	-2.7560009579
CAST	4.0285714732	2.8502367206
GSKIP	-0.968885871	-0.8374307781
