GeneStart	GeneEnd	Chromosome	HGNCsymbol
20712394 20735188 13 GJA3
46570039 46987717 18 DYM
20761609 20767037 13 GJB2
91473410 91497323 15 UNC45A
24110413 24126503 22 MMP11
20796110 20806534 13 GJB6
127704887 127905785 9 SCAI
30428126 30446118 21 CCT8
9413424 9639856 8 TNKS
60528525 60640866 20 TAF4
2621834 2660053 9 VLDLR
20977806 21099996 13 CRYL1
64199235 64364232 15 DAPK2
41679551 41694717 15 NDUFAF1
24129150 24176703 22 SMARCB1
47008028 47013622 18 C18orf32
3024268 3026393 20 GNRH2
127908852 127952218 9 PPP6C
41700606 41775761 15 RTF1
19284918 19450918 18 MIB1
56178902 56195632 20 ZBP1
64364758 64386217 15 FAM96A
24176690 24181315 22 DERL3
2717502 2730037 9 KCNV2
47008051 47017956 18 RPL17-C18orf32
3026591 3028900 20 MRPS26
3052266 3053163 20 OXT
60697517 60710434 20 LSM14B
50792759 50838905 15 USP50
3063202 3065370 20 AVP
127962821 127996437 9 RABEPK
38120648 38126761 8 PPAPDC1B
2720469 2844241 9 KIAA0020
21140585 21265503 13 IFT88
127997132 128003609 9 HSPA5
30449792 30548210 21 MAP3K7CL
25200181 25245423 15 SNURF
56223448 56286592 20 PMEPA1
9911778 10286401 8 MSRA
21276266 21297237 13 IL17D
64386322 64438289 15 SNX1
24198890 24228496 22 SLC2A11
50844670 50979012 15 TRPM7
16162128 16229033 4 TAPT1
21302870 21348097 13 N6AMT2
47014851 47018906 18 RPL17
60711791 60718496 20 PSMA7
25582381 25684128 15 UBE3A
86126311 86132650 8 C8orf59
30566392 31003071 21 BACH1
56725960 56736206 20 C20orf85
3218297 3526004 9 RFX3
44527399 44540794 20 PLTP
41785591 41795747 15 ITPKA
56793551 56803709 20 ANKRD60
21351469 21477187 13 XPO4
3088219 3140842 20 UBOX5
141541264 141645718 8 AGO2
145674965 145691060 8 CYHR1
24236191 24237414 22 MIF
19749404 19782491 18 GATA6
3127165 3140543 20 FASTKD5
56806188 56884495 20 PPP4R1L
41795836 41806085 15 LTK
24299601 24303373 22 GSTT2B
19993564 19997878 18 CTAGE1
3824127 4348392 9 GLIS3
21547171 21635686 13 LATS2
24309089 24314721 22 DDTL
10383056 10411676 8 PRSS55
3170996 3185331 20 DDRGK1
24313554 24322660 22 DDT
60718822 60757540 20 SS18L1
21714653 21723221 13 SAP18
72607410 72669758 4 GC
10463859 10569697 8 RP1L1
24322339 24326106 22 GSTT2
10530147 10558103 8 C8orf74
30909254 31312351 21 GRIK1
3189514 3204516 20 ITPA
128024073 128129486 9 GAPVD1
47087069 47119272 18 LIPG
21727734 21750741 13 SKA3
10581278 10697357 8 SOX7
4490444 4587469 9 SLC1A1
140374386 140397763 4 RAB33B
24376133 24384680 22 GSTT1
20378224 20606451 18 RBBP8
50999506 51058005 15 SPPL2A
91474148 91475799 15 HDDC3
56884752 56942563 20 RAB22A
38127215 38239790 8 WHSC1L1
64443914 64449680 15 SNX22
30968360 31003067 21 GRIK1-AS2
86132816 86196302 8 CA13
31538241 31538971 21 CLDN17
21750784 21753223 13 MRP63
31586324 31588391 21 CLDN8
31653629 31655276 21 KRTAP24-1
145691426 145699585 8 KIFC2
31661463 31661832 21 KRTAP25-1
91498100 91506349 15 RCCD1
31691452 31692607 21 KRTAP26-1
64448011 64455404 15 PPIB
31709331 31710012 21 KRTAP27-1
31720717 31720924 21 KRTAP23-1
31743709 31744557 21 KRTAP13-2
140417095 140527853 4 SETD7
31768392 31769136 21 KRTAP13-1
31797583 31798286 21 KRTAP13-3
10753555 11058875 8 XKR6
31802572 31803216 21 KRTAP13-4
31812597 31813070 21 KRTAP15-1
153539784 153601317 4 TMEM154
21950263 22033509 13 ZDHHC20
31852018 31852663 21 KRTAP19-1
31859362 31859755 21 KRTAP19-2
41809374 41836467 15 RPAP1
56964178 57026157 20 VAPB
31863782 31864275 21 KRTAP19-3
31869142 31869451 21 KRTAP19-4
60758085 60778624 20 MTG2
31873975 31874435 21 KRTAP19-5
31913854 31914183 21 KRTAP19-6
31933194 31933633 21 KRTAP19-7
31962424 31962716 21 KRTAP22-2
153690506 153700916 4 TIGD4
31964759 31965394 21 KRTAP6-3
4553386 4666674 9 SPATA6L
31970909 31971219 21 KRTAP6-2
106962756 107242652 4 TBCK
31973414 31973612 21 KRTAP22-1
31985750 31986249 21 KRTAP6-1
24407642 24574596 22 CABIN1
31988750 31989003 21 KRTAP20-1
31992946 31993169 21 KRTAP20-4
3208063 3219836 20 SLC4A11
32007555 32007938 21 KRTAP20-2
32015183 32015455 21 KRTAP20-3
32090843 32091095 21 KRTAP21-3
25922420 26110317 15 ATP10A
11141925 11185646 8 MTMR9
32119112 32119551 21 KRTAP21-2
22066836 22178353 13 MICU2
32127439 32127746 21 KRTAP21-1
32185016 32185570 21 KRTAP8-1
123300121 123350957 4 ADAD1
32252966 32253874 21 KRTAP11-1
32410478 32410795 21 KRTAP19-8
91509270 91538859 15 PRC1
153701089 153839615 4 ARFIP1
147560045 147563626 4 POU4F2
4662298 4665256 9 PPAPDC2
47309869 47340330 18 ACAA2
57034157 57090187 20 APCDD1L
144498455 144621828 4 FREM3
22245522 22278637 13 FGF9
140586922 140661899 4 MGST2
4679559 4708398 9 CDC37L1
24577227 24585078 22 SUSD2
16503164 16900432 4 LDB2
64457716 64648442 15 CSNK1G1
32490734 32932290 21 TIAM1
51200869 51298097 15 AP4E1
23755091 23899304 13 SGCG
60790026 60795323 20 HRH3
128199672 128469513 9 MAPKAP1
147627790 147867034 4 TTC29
158125334 158287227 4 GRIA2
4711155 4742043 9 AK3
140637907 141075338 4 MAML3
145698795 145701718 8 FOXH1
144792020 144826716 4 GYPE
1022835 1029276 7 CYP2W1
26788693 27184686 15 GABRB3
51348795 51397473 15 TNFAIP8L3
47349183 47721463 18 MYO5B
24615622 24641110 22 GGT5
153857504 153900848 4 FHDC1
64657193 64679886 15 KIAA0101
33031935 33041244 21 SOD1
1036622 1177896 7 C7orf50
4792869 4885917 9 RCL1
91541646 91565833 15 VPS33B
145703352 145727504 8 PPP1R16A
141178440 141306880 4 SCOC
60813580 60871268 20 OSBPL2
39371197 39375171 3 CCR8
23902965 24007841 13 SACS
64063757 64108579 14 WDR89
1084212 1098897 7 GPR146
144917257 145061844 4 GYPB
57226328 57254582 20 STX16
64150932 64194757 14 SGPP1
39424839 39438842 3 SLC25A38
154073494 154260472 4 TRIM2
3229951 3388272 20 C20orf194
10857885 10982419 3 SLC6A11
159045626 159094470 4 FAM198B
20714528 20840431 18 CABLES1
39448180 39454033 3 RPSA
33043346 33104388 21 SCAF4
11188397 11189717 8 SLC35G5
24144509 24250232 13 TNFRSF19
123372625 123377880 4 IL2
11225911 11296167 8 C8orf12
24666786 24813708 22 SPECC1L
128509624 128729656 9 PBX3
44563267 44576662 20 PCIF1
11278972 11332224 8 FAM167A
51500254 51630807 15 CYP19A1
86239837 86291243 8 CA1
1121844 1133451 7 GPER1
148402069 148466106 4 EDNRA
4985033 5128183 9 JAK2
36192758 36341152 7 EEPD1
24304328 24463558 13 MIPEP
154265801 154336270 4 MND1
64679947 64747502 15 TRIP4
123533783 123542224 4 IL21
1191707 1200395 7 ZFAND2A
11351510 11422113 8 BLK
24813847 24838328 22 ADORA2A
41849873 41871536 15 TYRO3
159122756 159176563 4 TMEM144
141309609 141349122 4 CLGN
33245628 33416946 21 HUNK
44577292 44600833 20 ZNF335
123653857 123666098 4 BBS12
24465238 24476794 13 C1QTNF9B
7788124 7816078 17 CHD3
3763609 3798185 17 CAMKK1
11034410 11080933 3 SLC6A1
5131979 5185668 9 INSL6
64752941 64978264 15 ZNF609
33640530 33651380 21 MIS18A
24863206 24924358 22 UPB1
5231419 5235304 9 INSL4
123747863 123819391 4 FGF2
60877149 60883918 20 ADRM1
11534468 11617511 8 GATA4
129089128 129269320 9 MVB12B
51633826 51700210 15 GLDN
47753563 47792892 18 CCDC11
17461884 17513857 4 QDPR
5299868 5304969 9 RLN2
57226490 57290466 20 STX16-NPEPL1
33664124 33687095 21 MRAP
5334969 5339873 9 RLN1
1272543 1276954 7 UNCX
20777108 21017925 18 TMEM241
16256441 16287937 22 POTEH
27915671 27924209 12 MANSC4
5357973 5437878 9 PLGRKT
145728356 145732557 8 GPT
24936406 24951903 22 GUCD1
99214569 99230030 7 ZSCAN25
148538534 148593195 4 TMEM184C
57264187 57294294 20 NPEPL1
33683329 33765335 21 URB1
154387498 154557863 4 KIAA0922
24553944 24881212 13 SPATA13
32646055 32648421 17 CCL8
5450503 5470566 9 CD274
3451687 3631769 20 ATRN
106383838 106391825 14 KIAA0125
1468101 1499138 7 MICALL2
129376722 129463311 9 LMX1B
11618896 11620309 8 C8orf49
27498289 27504367 2 DNAJC5G
155588325 155661815 3 GMPS
123809852 123844123 4 NUDT6
16448824 16449805 22 OR11H1
57057127 57082159 12 PTGES3
38243725 38267045 8 LETM2
17071667 17073700 22 CCT8L2
139784546 139876835 7 KDM7A
24951471 25005947 22 SNRPD3
5510545 5571282 9 PDCD1LG2
17264302 17302589 22 XKR3
134196548 134205558 3 ANAPC13
11627148 11644855 8 NEIL2
91643180 91844539 15 SV2B
76776957 76968178 14 ESRRB
69864129 69973562 12 FRS2
33765439 33766254 21 C21orf119
129567285 129600489 9 ZBTB43
24881304 24896673 13 C1QTNF9
95648277 95786243 14 CLMN
27687116 27703297 10 PTCHD3
75728419 75764340 12 GLIPR1L1
72897521 73013784 4 NPFFR2
142723245 142724282 7 OR9A2
17442826 17489112 22 GAB4
31091318 31205018 14 SCFD1
180319918 180335616 3 TTC14
142749417 142750444 7 OR6V1
27932953 27955973 12 KLHL42
142829170 142836839 7 PIP
141445312 141474924 4 ELMOD2
43331760 43339479 17 SPATA32
129622944 129648157 9 ZBTB34
32683471 32685629 17 CCL13
33784314 33887707 21 EVA1C
148558936 148605381 4 PRMT10
130732719 130746493 3 ASTE1
27111510 27194354 15 GABRA5
24995064 25086948 13 PARP4
86285665 86361269 8 CA3
11178779 11305243 3 HRH1
92396925 92715665 15 SLCO3A1
62304648 62321888 3 C3orf14
145030457 145061904 4 GYPA
123844229 124240605 4 SPATA5
60883011 60942368 20 LAMA5
142880512 142881528 7 TAS2R39
150019728 150035239 7 LRRC61
17516788 17528727 4 CLRN2
24667263 24705293 6 ACOT13
51739908 51915030 15 DMXL2
46970127 46973233 17 ATP5G1
60447579 60493837 17 EFCAB3
48413092 48416853 10 GDF2
160394948 160396233 3 ARL14
49932940 49952091 12 KCNH3
64979772 64995480 15 OAZ2
86376081 86393722 8 CA2
48425815 48438976 10 GDF10
18155560 18224084 6 KDM1B
27793197 27831143 10 RAB18
65672423 65882024 12 MSRB3
160473390 160796695 3 PPM1L
93683526 93790082 10 BTAF1
28111017 28125638 12 PTHLH
5629025 5776557 9 KIAA1432
150026938 150029808 7 ZBED6CL
113825547 113833427 2 IL1F10
138663066 138665982 3 FOXL2
7200586 7453450 10 SFMBT2
17578815 17609595 4 LAP3
125478246 125515777 12 BRI3BP
49913814 49917157 6 DEFB133
150035408 150038763 7 RARRES2
17565844 17596583 22 IL17RA
33948862 33959683 21 TCP10L
48187404 48207246 17 SAMD14
140868808 140892546 5 PCDHGC5
224839829 224904036 2 SERPINE2
49927962 49931818 6 DEFB114
90581889 90611575 10 ANKRD22
134204585 134293859 3 CEP63
95813075 95831158 2 ZNF514
73146686 73434516 4 ADAMTS3
159236463 159574524 4 RXFP1
65032091 65067786 15 RBPMS2
102756375 102767593 10 LZTS2
110073837 110100857 5 SLC25A46
129677053 129985445 9 RALGPS1
44637547 44645200 20 MMP9
62355356 62359999 3 FEZF2
19581601 19622292 17 SLC47A2
171571861 171574588 2 SP5
141480588 141489959 4 UCP1
48211104 48227991 17 PPP1R9B
28974506 29025806 2 PPP1CB
138666076 138672293 3 C3orf72
171640296 171655481 2 ERICH2
145734457 145736596 8 MFSD3
34725183 34741571 6 SNRPC
24979718 25024972 22 GGT1
113344582 113369990 12 OAS1
11653082 11696818 8 FDFT1
11313995 11599139 3 ATG7
135238528 135271260 6 ALDH8A1
8706041 8770994 17 PIK3R6
67240452 67323385 17 ABCA5
43193367 43197222 6 DNPH1
23216953 23326518 10 ARMC3
201675317 201688569 2 BZW1
72690452 72709117 17 CD300LF
33964389 33985176 21 C21orf59
32687347 32690250 17 CCL1
27216429 27778373 15 GABRG3
17597189 17602257 22 CECR6
90639491 90734910 10 STAMBPL1
64043 69452 16 WASH4P
31637944 31641553 6 LY6G5B
141667999 142012315 8 PTK2
65107831 65117867 15 PIF1
154622652 154626851 4 TLR2
160801671 160823172 3 B3GALNT1
36210980 36276372 6 PNPLA1
107663993 107770801 7 LAMB4
32901142 32906388 17 C17orf102
138724648 139076065 3 MRPS22
146348782 146758734 6 GRM1
133541305 133706738 5 CDKL3
99245817 99277621 7 CYP3A5
148653214 148993931 4 ARHGAP10
104813593 104840163 11 CASP4
8968841 8986558 11 TMEM9B
18390563 18392432 19 JUND
37356536 37360980 17 RPL19
65360326 65363467 11 KCNK7
32907768 32966337 17 TMEM132E
57508825 57510986 11 C11orf31
54673977 54680872 12 HNRNPA1
137464968 137494785 6 IL22RA2
154631277 154681387 4 RNF175
25254549 25285921 13 ATP12A
171318195 171528740 3 PLD1
175260458 175294303 2 SCRN3
119599747 119605254 2 EN1
18417040 18434084 19 LSM4
41349443 41356352 19 CYP2A6
79091095 79139877 17 AATK
40325098 40337054 19 FBL
2949503 2950685 11 PHLDA2
62931248 62997124 11 SLC22A25
28857921 28885526 16 SH2B1
125549925 125627873 12 AACS
150070579 150132556 6 PCMT1
45959538 45965751 1 CCDC163P
99845927 99873207 6 PNISR
117645947 117889975 12 NOS1
141541919 141677274 4 TBC1D9
96407 103628 16 POLR3K
55361898 55378662 19 KIR3DL2
92937058 93011958 15 ST8SIA2
44457031 44462200 1 CCDC24
125695824 125832186 5 GRAMD3
26383324 26395102 6 BTN2A2
5765076 5833117 9 ERMP1
142919130 142920162 7 TAS2R40
148555979 148596267 1 NBPF15
103010 107669 16 SNRNP25
45726842 45762871 17 KPNB1
43232940 43263968 1 C1orf50
46498339 46524576 19 CCDC61
24705089 24721064 6 C6orf62
65365226 65382853 11 MAP3K11
124608594 124639157 10 FAM24B
1151580 1222364 11 MUC5AC
18451397 18480760 19 PGPEP1
44395108 44471523 2 PPM1B
202995626 203047868 1 PPFIA4
70523107 70529222 2 FAM136A
40505905 40538321 1 CAP1
28000021 28344504 15 OCA2
86568695 86575726 8 REXO1L1P
155755490 156256545 3 KCNAB1
171669723 171717661 2 GAD1
86747543 86749570 8 REXO1L11P
86756718 86758745 8 REXO1L10P
104864962 104893895 11 CASP5
142941186 142967947 7 GSTK1
86999552 87166457 8 ATP6V0D2
39297766 39693181 6 KIF6
87359312 88126250 10 GRID1
17618401 17646177 22 CECR5
18485541 18499986 19 GDF15
150065278 150071133 7 REPIN1
3639939 3644046 20 GFRA4
9002123 9025596 11 NRIP3
45965725 45976739 1 MMACHC
47793252 47808144 18 MBD1
49936390 49937338 6 DEFB113
44650356 44688784 20 SLC12A5
124670217 124672627 10 FAM24A
121334199 121356541 10 TIAL1
154701744 154710272 4 SFRP2
155153831 155578857 6 TIAM2
49976851 49989694 6 DEFB110
51973550 52013223 15 SCG3
145567173 145666423 4 HHIP
29005383 29073477 2 SPDYA
108058 126354 16 RHBDF1
129849611 129885162 9 ANGPTL2
36283534 36304662 6 C6orf222
140894583 140998622 5 DIAPH1
18501954 18508427 19 LRRC25
39508689 39570970 3 MOBP
87060602 87100850 8 PSKH2
63137261 63177766 11 SLC22A9
102313312 102511149 2 MAP4K4
46522411 46526323 19 PGLYRP1
46985731 47006418 17 UBE2Z
45976708 45988719 1 PRDX1
139993493 140104233 7 SLC37A3
50011288 50016364 6 DEFB112
145736667 145743229 8 RECQL4
532242 537287 11 HRAS
68389473 68426896 5 SLC30A5
24981588 24989175 22 FAM211B
137518621 137540586 6 IFNGR1
2965667 3013607 11 NAP1L4
225243415 225266802 2 FAM124B
46543006 46580376 19 IGFL4
65383244 65404910 11 PCNXL3
69979114 69995350 12 CCT2
43272723 43282954 1 CCDC23
7696497 7698634 19 PCP2
113864791 113891593 2 IL1RN
67691415 67694713 16 ACD
46623328 46627931 19 IGFL3
67624451 67637677 2 ETAA1
43471275 43511787 17 ARHGAP27
41381344 41388657 19 CYP2A7
3648612 3662893 20 ADAM33
155153399 155412930 4 DCHS2
64319683 64693165 14 SYNE2
77228532 77249354 14 VASH1
119699742 119752236 2 MARCO
48736874 48827966 10 PTPN20B
34001069 34100359 21 SYNJ1
57510986 57519253 11 BTBD18
96211643 96255420 5 ERAP2
146864829 146876101 6 RAB32
73921797 73935472 4 COX18
19377522 19378606 14 OR11H12
141780961 142134031 4 RNF150
25115001 25170687 22 PIWIL3
57106212 57125412 12 NACA
64494383 64512928 11 RASGRP2
44457172 44497139 1 SLC6A9
43282795 43310660 1 ERMAP
19553365 19590078 14 POTEG
60962172 60963576 20 RPS21
7701767 7712759 19 STXBP2
9041071 9159661 11 SCUBE2
52015208 52043782 15 LYSMD2
48241575 48253292 17 SGCA
68268262 68338080 2 C1D
37366789 37382125 17 STAC2
36363830 36429734 7 KIAA0895
21032787 21066567 18 RIOK3
154237113 154256353 5 CNOT8
18224099 18265054 6 DEK
49950327 49961936 12 MCRS1
148739443 148758311 1 NBPF16
73163408 73179078 17 SUMO2
44214824 44221620 6 HSP90AB1
63228876 63258666 11 HRASLS5
203052260 203055164 1 MYOG
25338290 25454059 13 RNF17
46016215 46035721 1 AKR1A1
27505260 27530307 2 TRIM54
70674412 70781325 2 TGFA
129986544 130155939 9 GARNL3
5881596 6007901 9 KIAA2026
129347613 129350935 10 NPS
33172419 33174608 6 HSD17B8
127006 135852 16 MPG
43211418 43255997 6 TTBK1
537527 554916 11 LRRC56
129535499 129539450 10 FOXI2
87226281 87333375 8 SLC7A13
203059782 203136533 1 ADORA1
146920101 147136598 6 ADGB
56598285 56615717 12 RNF41
129676105 129691211 10 CLRN3
52043758 52108565 15 TMOD2
65405568 65418401 11 SIPA1
104896170 104972158 11 CASP1
33254878 33308097 17 CCT6B
1509913 1545489 7 INTS1
62384022 62861054 3 CADPS
41497204 41524303 19 CYP2B6
149400131 149400542 1 HIST2H3PS2
112079950 112123790 12 BRAP
43312280 43318148 1 ZNF691
25202236 25323545 22 SGSM1
60501228 60527454 17 METTL2A
203136939 203144941 1 MYBPH
149438750 149459549 1 FAM72C
180320646 180588793 3 CCDC39
115594488 115614142 10 DCLRE1A
18529674 18545372 19 SSBP4
149553003 149553787 1 PPIAL4C
93014884 93044347 15 C15orf32
31644461 31651817 6 LY6G5C
42801185 42807698 19 PAFAH1B3
124317950 124324910 4 SPRY1
5890802 5910606 9 MLANA
149675978 149676609 1 FAM231D
37288239 37371283 5 NUP155
75784850 75826468 12 GLIPR1L2
40353963 40440533 19 FCGBP
93160673 93353114 15 FAM174B
63273556 63284246 11 LGALS12
149754227 149764074 1 FCGR1A
39850405 40301812 3 MYRIP
38268656 38326352 8 FGFR1
60963688 60982341 20 CABLES2
124690419 124713919 10 C10orf88
155456158 155471587 4 PLRG1
134273 188859 16 NPRL3
125585207 125633887 4 ANKRD50
34759857 34850915 6 UHRF1BP1
88195013 88281572 10 WAPAL
65134088 65160206 15 PLEKHO2
203148059 203155877 1 CHI3L1
17660194 17702879 22 CECR1
185361527 185542844 3 IGF2BP2
102767440 102790890 10 PDZD7
33176272 33180499 6 RING1
150065879 150109558 7 ZNF775
43391052 43424530 1 SLC2A1
95831177 95850065 2 ZNF2
145888264 146019693 4 ANAPC10
129705325 129884119 10 PTPRE
26205340 26221778 17 LYRM9
73201754 73231853 17 NUP85
52121825 52239492 15 TMOD3
197504278 197628214 2 CCDC150
46646363 46664556 19 IGFL2
1244296 1283406 11 MUC5B
42806250 42814973 19 PRR19
150139934 150186199 6 LRP11
6011043 6015618 9 RANBP6
148999913 149365850 4 NR3C2
138737873 138739768 3 PRR23B
27530268 27531313 2 UCN
137813336 137815531 6 OLIG3
126237554 126414087 4 FAT4
142142041 142155851 4 ZNF330
42817477 42829214 19 TMEM145
136172834 136516712 6 PDE7B
13266774 13328815 6 TBC1D7
46733009 46734500 19 IGFL1
35849937 35873603 17 DUSP14
6215805 6257983 9 IL33
29072687 29093167 2 TRMT61B
138188351 138204449 6 TNFAIP3
28356186 28567298 15 HERC2
60985293 61002589 20 RBBP8NL
93426526 93571237 15 CHD2
65204101 65251042 15 ANKDD1A
25956622 26101385 2 ASXL2
149754245 149783928 1 HIST2H2BF
26368763 26523407 17 NLK
35535953 35860852 10 CCNY
68350068 68384692 2 WDR92
36322419 36356164 6 ETV7
20646835 20649200 2 RHOB
65421067 65430565 11 RELA
139074442 139108574 3 COPB2
70715884 70744829 10 DDX21
225334867 225450110 2 CUL3
149784826 149785236 1 HIST2H3D
67694849 67696681 16 PARD6A
40538379 40563375 1 PPT1
149804221 149811339 1 HIST2H4A
20760208 20850849 2 HS1BP3
87354967 87490649 8 WWP1
57414773 57486247 20 GNAS
52230222 52264003 15 LEO1
554855 560779 11 C11orf35
115614420 115676953 10 NHLRC2
28889726 28915830 16 ATP2A1
