transcript	GENE_NAME	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	adj_exp_syn	adj_exp_mis	adj_exp_lof	syn_z	mis_z	lof_z	em_p_hi
ENST00000379236.3	TNFRSF4	1	7	1146934	1149507	834	6.17E-06	1.20E-05	5.43E-07	58	100	4	51.13439257	98.07475601	6.427652627	-0.595212514	-0.095087344	0.948527747	0.00720933
ENST00000379290.1	TTLL10	1	13	1114595	1133227	2022	1.38E-05	2.89E-05	1.47E-06	76	173	8	68.4932919	135.5336109	9.603014404	-0.562309075	-1.574109407	0.51241677	1.95E-05
ENST00000400930.4	UBE2J2	1	7	1190582	1203372	828	5.69E-06	9.90E-06	7.70E-07	50	63	2	65.51712	110.2082285	9.22044741	1.188456131	2.199514862	2.355471266	0.415938847
ENST00000378785.2	ATAD3C	1	12	1386063	1403910	1236	9.07E-06	1.88E-05	1.11E-06	86	185	9	87.60500464	177.9888286	14.80758517	0.106306557	-0.257046972	1.4950069	4.91E-05
ENST00000344843.7	MRPL20	1	4	1337462	1342597	450	2.50E-06	5.50E-06	7.55E-07	32	71	7	27.67793367	58.7434573	9.945187876	-0.50930091	-0.78217617	0.925115996	0.000171803
ENST00000540437.1	CPSF3L	1	17	1247238	1257333	1821	1.19E-05	2.44E-05	2.06E-06	162	208	17	121.8940137	242.063499	25.96147168	-2.251996197	1.070880616	1.742225492	5.79E-09
ENST00000338370.3	AURKAIP1	1	3	1309180	1310136	600	4.24E-06	9.42E-06	3.31E-07	50	90	4	47.45621166	103.6781308	4.486610267	-0.228920243	0.657050504	0.227568316	0.002475388
ENST00000291386.3	SSU72	1	5	1477445	1509937	585	3.64E-06	7.03E-06	4.81E-07	36	21	1	37.06519308	71.33233781	6.901817706	0.108465944	2.914877785	2.225326494	0.606848849
ENST00000343938.4	GLTPD1	1	2	1262290	1263143	645	5.31E-06	1.07E-05	2.70E-07	62	114	4	54.75550085	109.2088346	3.588973179	-0.606937543	-0.224249761	-0.214918972	0.00138279
ENST00000309212.6	MXRA8	1	10	1288983	1293884	1329	1.45E-05	2.59E-05	1.23E-06	100	132	6	110.0506053	191.6902316	13.49697912	0.593943664	2.108723264	2.021425431	0.004712972
ENST00000354700.5	ACAP3	1	24	1228943	1243195	2505	2.01E-05	3.87E-05	2.10E-06	160	223	7	144.9809621	285.0102663	23.60098062	-0.773276832	1.796594051	3.384998607	0.03943093
ENST00000476993.1	VWA1	1	3	1371128	1375167	1338	1.38E-05	2.52E-05	6.50E-07	76	148	3	94.3888026	175.3152113	5.923262373	1.173390645	1.009046182	1.189808196	0.03319976
ENST00000378755.5	ATAD3A	1	16	1447648	1469452	1905	1.51E-05	3.11E-05	2.15E-06	94	189	7	126.5625116	266.5957027	23.64993685	1.794381111	2.324489365	3.391464043	0.040130598
ENST00000400809.3	CCNL2	1	11	1322610	1334686	1563	1.04E-05	2.37E-05	1.60E-06	98	208	6	116.3712855	262.2336775	21.98663327	1.055762982	1.638103961	3.377281855	0.104548195
ENST00000378891.5	DVL1	1	15	1271521	1284445	2013	1.68E-05	3.53E-05	1.55E-06	211	361	5	158.7031042	323.8803419	18.83049151	-2.573550398	-1.00885471	3.157159886	0.157164972
ENST00000379116.5	SCNN1D	1	18	1216041	1226990	2409	1.70E-05	3.28E-05	2.05E-06	194	325	21	129.6475229	247.722711	18.57785972	-3.503747698	-2.401516198	-0.556661453	2.82E-15
ENST00000308647.7	ATAD3B	1	16	1407264	1431197	1947	1.53E-05	3.15E-05	2.06E-06	117	246	21	132.2612824	280.3320059	23.2703654	0.822667948	1.002949843	0.466212392	1.92E-13
ENST00000379031.5	PUSL1	1	8	1244023	1246759	912	8.60E-06	1.64E-05	7.63E-07	84	140	14	64.9321339	125.4517303	8.502665387	-1.466972041	-0.635316998	-1.867516084	6.59E-12
ENST00000378546.4	C1orf86	1	4	2121147	2126188	543	4.61E-06	8.99E-06	3.44E-07	39	72	0	43.540894	80.5771573	4.8215662	0.426620561	0.467362635	2.17512265	0.785170903
ENST00000378536.4	SKI	1	7	2160205	2238204	2187	2.19E-05	3.88E-05	1.24E-06	165	183	0	163.6074286	285.3402645	11.8782619	-0.067495437	2.96334091	3.414020358	0.9814021
ENST00000407249.3	CDK11B	1	21	1571125	1588935	2358	1.45E-05	3.13E-05	2.21E-06	76	64	3	86.46544946	189.5839007	17.13771434	0.697727762	4.461179497	3.382925318	0.72829444
ENST00000378609.4	GNB1	1	9	1718769	1756892	1023	6.29E-06	1.33E-05	1.11E-06	74	29	0	71.80768399	147.6193716	15.52861286	-0.160386552	4.775297754	3.903516184	0.995187833
ENST00000378662.1	SLC35E2B	1	8	1597220	1608138	1218	9.55E-06	1.62E-05	8.69E-07	1	2	0	27.351666	46.89164101	2.830129936	3.123673789	3.206521849	1.666452294	0.621002459
ENST00000404249.3	CDK11A	1	19	1634345	1654257	2343	1.37E-05	3.07E-05	2.36E-06	73	167	10	79.0939276	172.0582371	19.09566368	0.424791046	0.188614344	2.061848367	5.24E-05
ENST00000344463.4	NADK	1	13	1684342	1696845	1776	1.22E-05	2.32E-05	1.56E-06	112	165	8	123.1011866	230.8986094	18.73742229	0.620280591	2.121201833	2.457167764	0.00126769
ENST00000288774.3	PEX10	1	6	2337204	2343941	1041	7.70E-06	1.57E-05	9.61E-07	72	153	5	67.65086469	139.8022747	11.27719227	-0.327805458	-0.545955856	1.851631769	0.010463632
ENST00000307786.3	CALML6	1	6	1846719	1848632	546	3.09E-06	5.86E-06	4.62E-07	35	69	6	31.27141593	57.69215446	6.225165337	-0.413351147	-0.728179047	0.089395524	0.000127437
ENST00000310991.3	TMEM52	1	5	1849320	1850704	630	4.44E-06	8.28E-06	3.89E-07	38	66	1	32.79218036	64.35821837	4.038832874	-0.56379378	-0.100098919	1.49785079	0.328693114
ENST00000378531.3	MORN1	1	14	2252821	2322972	1494	1.16E-05	2.13E-05	1.36E-06	99	230	12	100.2826498	176.0771409	17.45313608	0.079401355	-1.987642432	1.293002173	7.88E-07
ENST00000378585.4	GABRD	1	9	1950862	1961721	1359	1.17E-05	2.16E-05	9.73E-07	121	117	1	114.0659877	210.3615038	12.34487118	-0.402490103	3.148481355	3.198497782	0.923498878
ENST00000378567.3	PRKCZ	1	18	1982069	2116448	1779	1.31E-05	2.43E-05	1.50E-06	120	143	5	127.2105242	232.3985505	20.61842805	0.396326739	2.868338483	3.407213272	0.266923657
ENST00000605895.1	RER1	1	6	2327229	2334563	591	3.26E-06	6.60E-06	7.05E-07	46	38	0	39.436173	77.2598815	10.50163805	-0.647976699	2.184683118	3.210097742	0.969239733
ENST00000505820.2	MIB2	1	20	1550839	1565910	3213	3.02E-05	5.82E-05	2.73E-06	278	377	11	230.9790507	440.0846254	26.38478986	-1.918024058	1.47086128	2.966910413	0.000158543
ENST00000246421.4	SLC35E2	1	5	1663893	1670996	801	5.74E-06	1.15E-05	5.89E-07	6	13	1	28.81288839	67.25680296	4.516401544	2.634731402	3.235955562	1.639048863	0.374305908
ENST00000270722.5	PRDM16	1	17	2985823	3350375	3831	3.15E-05	5.48E-05	2.46E-06	311	508	2	353.4252533	611.965165	33.51428998	1.399025256	2.055611651	5.392401157	0.999843194
ENST00000378295.4	TP73	1	13	3598929	3649643	1911	1.49E-05	2.84E-05	1.53E-06	148	218	2	149.9509744	282.2858142	19.9959908	0.098771593	1.871487785	3.986520293	0.975977778
ENST00000449969.1	PLCH2	1	22	2399058	2435066	3390	2.22E-05	4.70E-05	2.64E-06	170	305	16	154.657607	324.056466	24.45686752	-0.76481619	0.517784833	1.693943024	1.71E-08
ENST00000378251.1	LRRC47	1	7	3697651	3713040	1752	1.41E-05	2.67E-05	1.02E-06	95	152	2	111.5833336	217.7054149	11.23049861	0.973241979	2.178125815	2.7284459	0.603832188
ENST00000378209.3	DFFB	1	7	3774167	3800305	1017	5.60E-06	1.30E-05	7.89E-07	58	127	8	61.02168512	137.3693641	11.18751468	0.239804431	0.43273805	0.94400672	5.09E-05
ENST00000378404.2	ACTRT2	1	1	2938250	2939384	1134	8.13E-06	1.41E-05	3.78E-07	88	169	3	92.4895	160.6507902	4.702033	0.289401778	-0.322195812	0.777525854	0.018722461
ENST00000378378.4	ARHGEF16	1	14	3379648	3397151	2130	1.40E-05	2.99E-05	1.67E-06	89	183	13	97.26067024	197.9425228	17.12168439	0.519273439	0.519481682	0.986713764	9.37E-08
ENST00000378344.2	TPRG1L	1	5	3541636	3545167	819	6.62E-06	1.26E-05	6.96E-07	48	74	5	42.5830618	83.240104	8.22874072	-0.51461808	0.495366745	1.11495216	0.002845285
ENST00000378453.3	HES5	1	3	2460907	2461603	501	5.70E-06	9.11E-06	3.65E-07	12	27	0	10.91210501	25.84501988	1.987264203	-0.204164419	-0.111122624	1.39642455	0.532717162
ENST00000361605.3	C1orf174	1	4	3806523	3816750	732	4.12E-06	8.39E-06	6.53E-07	37	96	4	47.08299972	93.53462676	8.564324132	0.910976472	-0.124684469	1.544968392	0.018742502
ENST00000356575.4	MEGF6	1	37	3407091	3527832	4626	3.59E-05	6.77E-05	5.05E-06	364	626	32	313.1785557	580.6573321	54.01183706	-1.780328069	-0.920373078	2.966890404	4.42E-15
ENST00000419916.2	FAM213B	1	7	2518234	2520866	687	5.66E-06	1.07E-05	4.98E-07	41	58	6	42.71004432	78.40893551	6.617595054	0.162214901	1.127337924	0.237817271	0.0001667
ENST00000294600.2	CCDC27	1	12	3669045	3688087	1971	1.06E-05	2.08E-05	1.87E-06	122	234	27	114.9060849	223.8128054	23.77710084	-0.410263581	-0.333064868	-0.654722033	1.61E-19
ENST00000270708.7	WRAP73	1	12	3547538	3566563	1383	9.76E-06	1.78E-05	1.27E-06	115	184	6	107.4247861	191.9427938	18.14269445	-0.453097099	0.280416881	2.823929569	0.02692199
ENST00000378230.3	CEP104	1	21	3731965	3768971	2778	1.28E-05	2.94E-05	2.80E-06	134	322	19	144.4863785	324.1648938	38.38562452	0.540832013	0.058812727	3.099453938	2.63E-08
ENST00000378412.3	MMEL1	1	23	2522428	2560923	2340	1.52E-05	3.10E-05	2.99E-06	140	309	25	156.6773424	311.6717609	37.69793898	0.825984937	0.074023847	2.048632892	8.88E-13
ENST00000378466.3	PANK4	1	19	2440285	2458026	2322	1.87E-05	3.39E-05	1.86E-06	190	223	4	194.883772	352.7777287	26.53066629	0.216879954	3.379605355	4.333009358	0.945333402
ENST00000355716.4	TNFRSF14	1	8	2488103	2494712	852	5.72E-06	1.07E-05	6.79E-07	70	108	1	57.98760468	107.0148264	9.74898681	-0.977938743	-0.046582086	2.77566932	0.819999054
ENST00000377658.4	KLHL21	1	4	6653424	6662877	1794	1.92E-05	3.48E-05	1.11E-06	124	156	6	131.423432	238.6686651	9.959235075	0.401435692	2.617338055	1.24276226	0.001077352
ENST00000377705.5	NOL9	1	12	6585913	6614562	2109	1.08E-05	2.56E-05	1.63E-06	103	179	8	100.5862983	236.2390594	22.09657854	-0.149198111	1.821517701	2.970577608	0.00447024
ENST00000537245.1	PLEKHG5	1	22	6527622	6557091	3258	2.05E-05	4.41E-05	2.70E-06	196	364	13	191.6937995	404.5848002	31.53703057	-0.192814468	0.986904352	3.269786931	4.03E-05
ENST00000378083.3	KCNAB2	1	15	6111596	6158634	1248	7.54E-06	1.65E-05	1.24E-06	55	47	2	55.67377558	112.4002589	14.52629005	0.055981202	3.017258016	3.255627763	0.839972632
ENST00000343813.5	ICMT	1	5	6285139	6295971	855	5.92E-06	1.10E-05	8.03E-07	32	29	0	35.72614016	73.345842	9.716947202	0.386469794	2.532687639	3.087838728	0.959145428
ENST00000377828.1	ESPN	1	13	6485015	6520206	2565	2.56E-05	4.33E-05	1.56E-06	119	283	7	157.802469	277.2364452	16.22212052	1.914927057	-0.169310972	2.268123289	0.002553841
ENST00000378191.4	AJAP1	1	5	4715485	4834559	1236	9.27E-06	1.83E-05	8.62E-07	80	154	0	100.6098036	197.0195953	11.37024513	1.273805362	1.499091429	3.340217136	0.977592767
ENST00000377674.4	ZBTB48	1	10	6640669	6649272	2067	1.08E-05	2.38E-05	1.53E-06	135	213	4	123.8068933	267.9420759	20.92776377	-0.6236307	1.641727751	3.665455032	0.680198376
ENST00000377782.3	TNFRSF25	1	10	6521493	6526167	1281	9.17E-06	1.86E-05	1.20E-06	70	126	3	82.45801296	166.1880227	13.95640904	0.850514592	1.524800469	2.905166879	0.448738853
ENST00000333172.6	TAS1R1	1	6	6615433	6639644	2526	1.28E-05	2.70E-05	1.29E-06	142	299	14	142.9429324	299.7812774	16.62674177	0.048891549	0.022071508	0.638121659	7.91E-09
ENST00000378156.4	NPHP4	1	29	5923324	6046349	4281	2.86E-05	5.72E-05	3.78E-06	310	632	33	281.4510948	549.4545072	45.12499598	-1.054963278	-1.722439343	1.787980179	1.29E-17
ENST00000234875.4	RPL22	1	4	6246731	6259633	387	1.79E-06	4.06E-06	2.88E-07	13	10	1	20.11778772	43.12366735	4.248154749	0.98379472	2.467158396	1.561083862	0.348492156
ENST00000377939.4	RNF207	1	17	6266595	6279467	1905	1.51E-05	2.82E-05	2.01E-06	95	220	12	122.450814	221.5253594	21.74497951	1.537884272	0.050128931	2.070099088	5.19E-06
ENST00000377898.3	HES3	1	3	6304425	6305567	561	5.51E-06	1.02E-05	3.09E-07	26	36	1	35.43867348	68.5691394	3.379164783	0.982927668	1.923793207	1.282063522	0.268868568
ENST00000262450.3	CHD5	1	41	6166339	6240083	5865	3.81E-05	7.43E-05	5.01E-06	392	428	3	406.8382073	778.3326156	65.67007828	0.456057717	6.14206494	7.660659759	0.999999995
ENST00000377648.4	PHF13	1	4	6674126	6681697	903	5.37E-06	1.18E-05	5.91E-07	78	84	0	61.69785544	133.9558206	8.248005044	-1.286645867	2.111162212	2.8448813	0.931111283
ENST00000054650.4	THAP3	1	5	6685278	6693137	720	4.04E-06	9.57E-06	5.12E-07	44	78	5	40.90192308	93.9282975	6.952243176	-0.300310279	0.80387343	0.733434187	0.001484225
ENST00000377855.2	ACOT7	1	9	6324656	6445726	1143	7.85E-06	1.61E-05	8.97E-07	86	105	3	88.53091185	178.5648753	13.217938	0.166754934	2.692706876	2.784012006	0.381517902
ENST00000377834.4	HES2	1	4	6478932	6479880	522	5.81E-06	1.06E-05	4.24E-07	14	19	2	27.15303838	48.31292722	3.695022045	1.564827197	2.062737689	0.873487183	0.067046655
ENST00000377893.2	GPR153	1	5	6309397	6314965	1830	1.82E-05	3.31E-05	8.06E-07	75	158	6	89.55848711	184.8824904	7.930556921	0.953701448	0.967026072	0.679079256	0.000377954
ENST00000054666.6	VAMP3	1	5	7831443	7839705	303	1.52E-06	3.35E-06	4.79E-07	22	36	3	18.30407282	37.99058675	7.099727542	-0.535549198	0.157964784	1.524136499	0.054263067
ENST00000471889.1	SLC45A1	1	8	8384389	8404073	2247	1.81E-05	3.14E-05	1.43E-06	185	275	6	207.900241	359.1146638	19.57454256	0.984603241	2.171059501	3.039268616	0.045189256
ENST00000377436.3	CA6	1	8	9005945	9034503	942	4.91E-06	1.00E-05	7.03E-07	52	109	5	55.153496	107.1959642	10.61154216	0.263242348	-0.085224349	1.70640707	0.008023621
ENST00000377577.5	DNAJC11	1	16	6695734	6761860	1680	8.57E-06	1.88E-05	2.04E-06	104	152	0	99.37884809	211.3540426	29.18929429	-0.287377334	1.996922456	5.351819511	0.99997079
ENST00000377346.4	PIK3CD	1	22	9770513	9787104	3135	2.01E-05	4.14E-05	2.62E-06	211	205	1	220.8940428	447.7080905	35.25779937	0.412695179	5.610522559	5.715069828	0.999984295
ENST00000234590.4	ENO1	1	11	8921418	8934967	1305	6.64E-06	1.36E-05	1.00E-06	69	136	6	78.76833105	156.6775057	15.56770008	0.682329209	0.807999598	2.402066371	0.010373413
ENST00000302692.6	SLC25A33	1	7	9599750	9642559	966	4.38E-06	1.03E-05	7.08E-07	46	79	2	42.39438299	103.6893526	9.5972934	-0.343301156	1.185932044	2.429261241	0.451158319
ENST00000377482.5	ERRFI1	1	3	8073269	8075679	1389	5.31E-06	1.28E-05	8.52E-07	67	145	4	61.448297	146.7663913	10.90577028	-0.43905661	0.071316852	2.071446263	0.046551582
ENST00000377424.4	SLC2A5	1	12	9097644	9129595	1506	1.09E-05	1.90E-05	1.14E-06	82	154	9	107.0807166	189.5950852	15.13832808	1.502565839	1.264425144	1.562790752	5.68E-05
ENST00000377411.4	GPR157	1	4	9164477	9189086	1008	9.45E-06	1.64E-05	5.90E-07	58	135	7	85.84555372	148.6818081	7.015181043	1.863143812	0.548821196	0.005677691	2.63E-05
ENST00000054668.5	UTS2	1	5	7907825	7913491	420	1.71E-06	4.10E-06	3.28E-07	16	46	2	21.35573574	48.15978208	5.710723188	0.718474829	0.152224213	1.538164231	0.151041459
ENST00000400906.1	SLC2A7	1	12	9063358	9086404	1539	1.05E-05	1.97E-05	1.21E-06	124	215	22	106.9898479	193.6379835	16.23903063	-1.019500997	-0.750867109	-1.416136679	2.99E-17
ENST00000340381.6	TMEM201	1	11	9648988	9673141	2001	1.53E-05	2.90E-05	1.41E-06	84	147	1	87.89301702	164.2127968	10.16382665	0.257429847	0.656998616	2.847330885	0.841903867
ENST00000377507.3	TNFRSF9	1	7	7980894	8000054	768	3.51E-06	7.77E-06	7.96E-07	42	97	3	41.2051798	88.15791161	11.62821562	-0.076761305	-0.46061782	2.506421699	0.253050501
ENST00000303635.7	CAMTA1	1	23	6845590	7826551	5022	3.05E-05	6.04E-05	3.84E-06	271	483	1	346.0844098	674.1494111	50.93810516	2.502120017	3.600902266	6.931071415	0.999999955
ENST00000493678.1	PARK7	1	6	8022845	8045114	570	2.32E-06	5.74E-06	4.32E-07	30	70	0	28.45880163	66.88901228	7.289180612	-0.179101893	-0.186053424	2.674416605	0.903949397
ENST00000361923.2	PER3	1	21	7844937	7902815	3606	1.82E-05	3.80E-05	2.71E-06	227	478	22	211.4438772	431.4127198	38.83057385	-0.663212368	-1.097078064	2.675480043	2.19E-10
ENST00000377403.2	H6PD	1	4	9304993	9324928	2376	1.47E-05	3.08E-05	1.35E-06	172	373	9	165.8881631	345.2875158	16.75844161	-0.294178413	-0.729460394	1.877359299	0.000111404
ENST00000328089.6	SPSB1	1	2	9415950	9427634	822	5.76E-06	1.14E-05	6.41E-07	71	60	1	66.05031	130.459799	8.10184981	-0.377563545	3.017307176	2.471548107	0.709596082
ENST00000337907.3	RERE	1	22	8415146	8716356	4701	2.83E-05	5.92E-05	3.53E-06	322	452	3	303.6179946	636.2438146	47.5123733	-0.654001144	3.572708222	6.396863645	0.999995655
ENST00000356607.4	PEX14	1	9	10535023	10690044	1134	7.68E-06	1.37E-05	1.17E-06	77	113	3	84.6094112	149.0710307	15.97795959	0.512850879	1.44503397	3.216144429	0.634568378
ENST00000377298.4	CLSTN1	1	19	9790565	9883791	2946	1.99E-05	3.70E-05	2.33E-06	219	354	6	216.9960248	400.0343027	32.24675733	-0.084337621	1.125769296	4.578490715	0.84421445
ENST00000400900.2	APITD1-CORT	1	5	10490574	10511652	495	2.31E-06	5.25E-06	6.02E-07	24	68	4	23.08656822	51.1482961	6.773424499	-0.117854193	-1.152509702	1.055605905	0.008520901
ENST00000377038.3	DFFA	1	6	10521546	10532515	996	5.19E-06	1.09E-05	6.96E-07	44	114	7	61.335883	126.50915	10.40112403	1.372265238	0.543982567	1.044652774	0.000218371
ENST00000240185.3	TARDBP	1	5	11073784	11082711	1245	5.22E-06	1.20E-05	8.55E-07	57	34	0	61.197774	137.9526345	11.77848033	0.332659791	4.328992866	3.399650856	0.980707837
ENST00000376936.4	EXOSC10	1	25	11126774	11159888	2658	1.22E-05	2.74E-05	2.96E-06	150	296	19	146.1992702	315.1586477	43.30508988	-0.19486794	0.527856247	3.658620923	1.66E-07
ENST00000377223.1	LZIC	1	6	9990456	9996677	573	1.49E-06	3.98E-06	4.48E-07	15	43	5	19.09494036	47.08543881	7.495207681	0.580948781	0.291213805	0.902827038	0.001979247
ENST00000377049.3	CORT	1	2	10510280	10511652	318	1.98E-06	4.05E-06	2.60E-07	20	54	3	21.60637891	42.43205996	3.508917603	0.21424304	-0.868611167	0.269122861	0.009837791
ENST00000376957.2	SRM	1	8	11114921	11120000	909	7.00E-06	1.27E-05	7.86E-07	62	49	1	70.30560606	124.0403171	10.76831051	0.614081475	3.2955629	2.948732484	0.869848472
ENST00000270776.8	PGD	1	13	10459174	10479806	1452	7.51E-06	1.53E-05	1.24E-06	91	147	2	89.54033917	176.6786791	19.26495825	-0.095629474	1.09211721	3.896468787	0.968660462
ENST00000294435.7	RBP7	1	4	10057316	10075890	405	1.65E-06	3.66E-06	3.01E-07	21	36	1	18.9772352	40.42321827	4.868998981	-0.287857311	0.340282444	1.736874608	0.408810206
ENST00000377263.1	CTNNBIP1	1	3	9910775	9932122	246	1.79E-06	3.51E-06	3.92E-07	16	30	3	18.55392225	35.33620717	5.121155577	0.36756905	0.439075684	0.928492123	0.02298674
ENST00000377320.3	C1orf200	1	2	9713836	9714494	504	2.21E-06	5.76E-06	2.15E-07	17	49	2	25.90505	66.1385119	3.27004924	1.084659967	1.030771308	0.695717778	0.054923005
ENST00000377022.3	CASZ1	1	18	10698998	10753946	5280	4.71E-05	8.00E-05	2.79E-06	355	581	2	477.4408339	817.3212016	36.01610712	3.473888508	4.043177174	5.614691884	0.999938476
ENST00000263934.6	KIF1B	1	46	10292386	10436645	5313	2.11E-05	5.47E-05	5.78E-06	230	419	4	253.0183299	625.6591377	82.85456029	0.897112108	4.041123412	8.581403034	1
ENST00000400897.3	MASP2	1	11	11086941	11107264	2061	1.05E-05	2.21E-05	1.40E-06	118	270	20	105.3068185	219.2684879	17.81884777	-0.76681807	-1.675737973	-0.511841964	1.58E-14
ENST00000343090.6	UBE4B	1	28	10093728	10240014	3909	1.79E-05	4.30E-05	3.34E-06	188	320	4	211.0977763	491.2912376	49.07769005	0.985548959	3.779914969	6.373959057	0.999987414
ENST00000377004.4	C1orf127	1	12	11007719	11042094	2472	1.20E-05	2.55E-05	2.06E-06	122	261	11	110.4360095	232.8031909	19.88534297	-0.682185001	-0.903902932	1.97377372	1.33E-05
ENST00000602787.1	APITD1	1	5	10490574	10511652	495	2.31E-06	5.25E-06	6.02E-07	24	68	4	23.08656822	51.1482961	6.773424499	-0.117854193	-1.152509702	1.055605905	0.008520901
ENST00000377205.1	NMNAT1	1	4	10032131	10042759	840	2.77E-06	7.23E-06	4.62E-07	38	101	2	33.016481	83.581278	6.91475187	-0.537675544	-0.931919084	1.851411567	0.225291939
ENST00000376753.4	FBXO6	1	5	11728715	11733908	882	4.68E-06	1.03E-05	8.95E-07	46	127	7	54.50773317	118.1056221	12.0909	0.714387931	-0.400311329	1.450290434	0.000485731
ENST00000354287.4	FBXO2	1	6	11708750	11714397	891	8.30E-06	1.45E-05	7.07E-07	44	98	2	66.18393979	117.2384016	7.566752327	1.690486948	0.869061374	2.004642107	0.273382986
ENST00000376770.1	FBXO44	1	5	11715892	11721330	768	5.94E-06	1.07E-05	7.49E-07	56	103	8	69.347586	122.834896	10.58099082	0.993657396	0.875357732	0.78598269	3.60E-05
ENST00000376468.3	NPPB	1	3	11917711	11918890	405	2.13E-06	5.51E-06	3.42E-07	21	58	5	24.22528969	59.88654005	4.762852976	0.406240968	0.119238873	-0.107640032	0.00038006
ENST00000235310.3	MAD2L2	1	8	11734831	11740658	636	4.08E-06	8.32E-06	6.75E-07	37	53	3	48.76961121	96.08882158	10.86844362	1.044809036	2.150030559	2.364257902	0.202505866
ENST00000376810.5	UBIAD1	1	2	11333588	11346188	1017	5.91E-06	1.07E-05	4.99E-07	72	85	1	67.81176	122.4324823	6.4971073	-0.315303315	1.654691201	2.136308113	0.568905634
ENST00000235332.4	MIIP	1	9	12081783	12091865	1167	6.45E-06	1.46E-05	1.14E-06	68	173	20	72.19903446	157.9726832	15.52035919	0.30636051	-0.584798718	-1.12637258	1.96E-15
ENST00000235329.5	MFN2	1	17	12049225	12071622	2274	9.97E-06	2.52E-05	1.97E-06	127	215	1	117.7895372	285.0553908	28.67863221	-0.526113404	2.029520454	5.119824678	0.999816094
ENST00000433342.1	C1orf167	1	21	11821843	11849503	4422	2.15E-05	5.28E-05	4.65E-06	13	29	1	15.93633049	34.96970869	1.915994446	0.455995099	0.493768728	0.65551917	0.155526802
ENST00000346436.6	CLCN6	1	23	11866319	11900280	2610	1.47E-05	3.16E-05	2.48E-06	168	296	9	171.3375471	357.7815131	36.60075575	0.158068205	1.597592085	4.519241919	0.163974191
ENST00000263932.2	TNFRSF8	1	15	12123655	12202588	1788	1.19E-05	2.32E-05	1.86E-06	112	221	4	117.6949874	230.5834999	23.46393228	0.325434933	0.308692813	3.980337338	0.845965387
ENST00000196061.4	PLOD1	1	19	11994836	12034865	2184	1.34E-05	2.84E-05	2.27E-06	142	292	16	146.4146319	306.6528263	31.39497242	0.226177086	0.409273493	2.721689311	2.70E-07
