A1BG	alpha-1-B glycoprotein
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5
ABCD2	ATP binding cassette subfamily D member 2
ABCD3	ATP binding cassette subfamily D member 3
ABCD4	ATP binding cassette subfamily D member 4
ABCE1	ATP binding cassette subfamily E member 1
ABCF1	ATP binding cassette subfamily F member 1
ABCF2	ATP binding cassette subfamily F member 2
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2
ABCF3	ATP binding cassette subfamily F member 3
ABCG1	ATP binding cassette subfamily G member 1
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4	ATP binding cassette subfamily G member 4
ABCG5	ATP binding cassette subfamily G member 5
ABCG8	ATP binding cassette subfamily G member 8
ABHD1	abhydrolase domain containing 1
ABHD2	abhydrolase domain containing 2
ABHD3	abhydrolase domain containing 3
ABHD4	abhydrolase domain containing 4
ABHD5	abhydrolase domain containing 5
ABHD6	abhydrolase domain containing 6
ABHD8	abhydrolase domain containing 8
ABHD10	abhydrolase domain containing 10
ABHD11	abhydrolase domain containing 11
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)
ABHD12	abhydrolase domain containing 12
ABHD12B	abhydrolase domain containing 12B
ABHD13	abhydrolase domain containing 13
ABHD14A	abhydrolase domain containing 14A
ABHD14A-ACY1	ABHD14A-ACY1 readthrough
ABHD14B	abhydrolase domain containing 14B
ABHD15	abhydrolase domain containing 15
ABHD15-AS1	ABHD15 antisense RNA 1
ABHD16A	abhydrolase domain containing 16A
ABHD16B	abhydrolase domain containing 16B
ABHD17A	abhydrolase domain containing 17A
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9
ABHD17B	abhydrolase domain containing 17B
ABHD17C	abhydrolase domain containing 17C
ABHD18	abhydrolase domain containing 18
ABI1	abl interactor 1
ABI1P1	abl-interactor 1 pseudogene 1
ABI2	abl-interactor 2
ABI3	ABI family member 3
ABI3BP	ABI family member 3 binding protein
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1	actin binding LIM protein 1
ABLIM2	actin binding LIM protein family member 2
ABLIM3	actin binding LIM protein family member 3
ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
ABR	active BCR-related
ABRA	actin binding Rho activating protein
ABRACL	ABRA C-terminal like
ABT1	activator of basal transcription 1
ABT1P1	activator of basal transcription 1 pseudogene 1
ABTB1	ankyrin repeat and BTB domain containing 1
ABTB2	ankyrin repeat and BTB domain containing 2
ACAA1	acetyl-CoA acyltransferase 1
ACAA2	acetyl-CoA acyltransferase 2
ACACA	acetyl-CoA carboxylase alpha
ACACB	acetyl-CoA carboxylase beta
ACAD8	acyl-CoA dehydrogenase family member 8
ACAD9	acyl-CoA dehydrogenase family member 9
ACAD10	acyl-CoA dehydrogenase family member 10
ACAD11	acyl-CoA dehydrogenase family member 11
ACADL	acyl-CoA dehydrogenase, long chain
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain
ACADSB	acyl-CoA dehydrogenase, short/branched chain
ACADVL	acyl-CoA dehydrogenase, very long chain
ACAN	aggrecan
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP2-IT1	ACAP2 intronic transcript 1
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1	acetyl-CoA acetyltransferase 1
ACAT2	acetyl-CoA acetyltransferase 2
ACBD3	acyl-CoA binding domain containing 3
ACBD4	acyl-CoA binding domain containing 4
ACBD5	acyl-CoA binding domain containing 5
ACBD6	acyl-CoA binding domain containing 6
ACBD7	acyl-CoA binding domain containing 7
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like
ACD	adrenocortical dysplasia homolog
ACE	angiotensin I converting enzyme
ACE2	angiotensin I converting enzyme 2
ACE3P	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene
ACER1	alkaline ceramidase 1
ACER2	alkaline ceramidase 2
ACER3	alkaline ceramidase 3
ACHE	acetylcholinesterase (Cartwright blood group)
ACIN1	apoptotic chromatin condensation inducer 1
ACKR1	atypical chemokine receptor 1 (Duffy blood group)
ACKR2	atypical chemokine receptor 2
ACKR3	atypical chemokine receptor 3
ACKR4	atypical chemokine receptor 4
ACLS	acrocallosal syndrome
ACLY	ATP citrate lyase
ACMSD	aminocarboxymuconate semialdehyde decarboxylase
ACO1	aconitase 1
ACO2	aconitase 2
ACOD1	aconitate decarboxylase 1
ACOT1	acyl-CoA thioesterase 1
ACOT2	acyl-CoA thioesterase 2
ACOT4	acyl-CoA thioesterase 4
ACOT6	acyl-CoA thioesterase 6
ACOT7	acyl-CoA thioesterase 7
ACOT8	acyl-CoA thioesterase 8
ACOT9	acyl-CoA thioesterase 9
ACOT11	acyl-CoA thioesterase 11
ACOT12	acyl-CoA thioesterase 12
ACOT13	acyl-CoA thioesterase 13
ACOX1	acyl-CoA oxidase 1, palmitoyl
ACOX2	acyl-CoA oxidase 2, branched chain
ACOX3	acyl-CoA oxidase 3, pristanoyl
ACOXL	acyl-CoA oxidase-like
ACP1	acid phosphatase 1, soluble
ACP2	acid phosphatase 2, lysosomal
ACP5	acid phosphatase 5, tartrate resistant
ACP6	acid phosphatase 6, lysophosphatidic
ACP7	acid phosphatase 7, tartrate resistant (putative)
ACPP	acid phosphatase, prostate
ACPT	acid phosphatase, testicular
ACR	acrosin
ACRBP	acrosin binding protein
ACRC	acidic repeat containing
ACRV1	acrosomal vesicle protein 1
ACSBG1	acyl-CoA synthetase bubblegum family member 1
ACSBG2	acyl-CoA synthetase bubblegum family member 2
ACSF2	acyl-CoA synthetase family member 2
ACSF3	acyl-CoA synthetase family member 3
ACSL1	acyl-CoA synthetase long-chain family member 1
ACSL3	acyl-CoA synthetase long-chain family member 3
ACSL4	acyl-CoA synthetase long-chain family member 4
ACSL5	acyl-CoA synthetase long-chain family member 5
ACSL6	acyl-CoA synthetase long-chain family member 6
ACSM1	acyl-CoA synthetase medium-chain family member 1
ACSM2A	acyl-CoA synthetase medium-chain family member 2A
ACSM2B	acyl-CoA synthetase medium-chain family member 2B
ACSM3	acyl-CoA synthetase medium-chain family member 3
ACSM4	acyl-CoA synthetase medium-chain family member 4
ACSM5	acyl-CoA synthetase medium-chain family member 5
ACSM5P1	acyl-CoA synthetase medium-chain family member 5 pseudogene 1
ACSM6	acyl-CoA synthetase medium-chain family member 6
ACSS1	acyl-CoA synthetase short-chain family member 1
ACSS2	acyl-CoA synthetase short-chain family member 2
ACSS3	acyl-CoA synthetase short-chain family member 3
ACTA1	actin, alpha 1, skeletal muscle
ACTA2	actin, alpha 2, smooth muscle, aorta
ACTA2-AS1	ACTA2 antisense RNA 1
ACTB	actin, beta
ACTBL2	actin, beta-like 2
ACTBP1	actin, beta pseudogene 1
ACTBP2	actin, beta pseudogene 2
ACTBP3	actin, beta pseudogene 3
ACTBP4	actin, beta pseudogene 4
ACTBP6	actin, beta pseudogene 6
ACTBP7	actin, beta pseudogene 7
ACTBP8	actin, beta pseudogene 8
ACTBP9	actin, beta pseudogene 9
ACTBP10	actin, beta pseudogene 10
ACTBP11	actin, beta pseudogene 11
ACTBP12	actin, beta pseudogene 12
ACTBP13	actin, beta pseudogene 13
ACTBP14	actin, beta pseudogene 14
ACTC1	actin, alpha, cardiac muscle 1
ACTG1	actin gamma 1
ACTG1P1	actin gamma 1 pseudogene 1
ACTG1P2	actin gamma 1 pseudogene 2
ACTG1P3	actin gamma 1 pseudogene 3
ACTG1P4	actin gamma 1 pseudogene 4
ACTG1P6	actin gamma 1 pseudogene 6
ACTG1P7	actin gamma 1 pseudogene 7
ACTG1P8	actin gamma 1 pseudogene 8
ACTG1P9	actin gamma 1 pseudogene 9
ACTG1P10	actin gamma 1 pseudogene 10
ACTG1P11	actin gamma 1 pseudogene 11
ACTG1P12	actin gamma 1 pseudogene 12
ACTG1P13	actin gamma 1 pseudogene 13
ACTG1P14	actin gamma 1 pseudogene 14
ACTG1P15	actin gamma 1 pseudogene 15
ACTG1P16	actin gamma 1 pseudogene 16
ACTG1P17	actin gamma 1 pseudogene 17
ACTG1P18	actin gamma 1 pseudogene 18
ACTG1P19	actin gamma 1 pseudogene 19
ACTG1P20	actin gamma 1 pseudogene 20
ACTG1P21	actin gamma 1 pseudogene 21
ACTG1P22	actin gamma 1 pseudogene 22
ACTG1P23	actin gamma 1 pseudogene 23
ACTG1P24	actin gamma 1 pseudogene 24
ACTG2	actin, gamma 2, smooth muscle, enteric
ACTL6A	actin like 6A
ACTL6B	actin like 6B
ACTL7A	actin like 7A
ACTL7B	actin like 7B
ACTL8	actin like 8
ACTL9	actin like 9
ACTL10	actin like 10
ACTN1	actinin alpha 1
ACTN1-AS1	ACTN1 antisense RNA 1
ACTN2	actinin alpha 2
ACTN3	actinin alpha 3 (gene/pseudogene)
ACTN4	actinin alpha 4
ACTN4P1	actinin alpha 4 pseudogene 1
ACTN4P2	actinin alpha 4 pseudogene 2
ACTP1	actin family pseudogene 1
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)
ACTR2	ARP2 actin-related protein 2 homolog (yeast)
ACTR3	ARP3 actin-related protein 3 homolog (yeast)
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)
ACTR3BP1	ACTR3B pseudogene 1
ACTR3BP2	ACTR3B pseudogene 2
ACTR3BP3	ACTR3B pseudogene 3
ACTR3BP4	ACTR3B pseudogene 4
ACTR3BP5	ACTR3B pseudogene 5
ACTR3BP6	ACTR3B pseudogene 6
ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)
ACTR3P1	ACTR3 pseudogene 1
ACTR3P2	ACTR3 pseudogene 2
ACTR3P3	ACTR3 pseudogene 3
ACTR5	ARP5 actin-related protein 5 homolog
ACTR6	ARP6 actin-related protein 6 homolog (yeast)
ACTR6P1	ACTR6 pseudogene 1
ACTR8	ARP8 actin-related protein 8 homolog (yeast)
ACTR10	actin-related protein 10 homolog (S. cerevisiae)
ACTRT1	actin related protein T1
ACTRT2	actin related protein T2
ACTRT3	actin related protein T3
ACVR1	activin A receptor type 1
ACVR1B	activin A receptor type 1B
ACVR1C	activin A receptor type 1C
ACVR2A	activin A receptor type 2A
ACVR2B	activin A receptor type 2B
ACVR2B-AS1	ACVR2B antisense RNA 1
ACVRL1	activin A receptor like type 1
ACY1	aminoacylase 1
ACY3	aminoacylase 3
ACYP1	acylphosphatase 1
ACYP2	acylphosphatase 2
AD5	Alzheimer disease 5
ADA	adenosine deaminase
ADAD1	adenosine deaminase domain containing 1
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2
ADAD2	adenosine deaminase domain containing 2
ADAL	adenosine deaminase-like
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)
ADAM2	ADAM metallopeptidase domain 2
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)
ADAM7	ADAM metallopeptidase domain 7
ADAM8	ADAM metallopeptidase domain 8
ADAM9	ADAM metallopeptidase domain 9
ADAM10	ADAM metallopeptidase domain 10
ADAM11	ADAM metallopeptidase domain 11
ADAM12	ADAM metallopeptidase domain 12
ADAM15	ADAM metallopeptidase domain 15
ADAM17	ADAM metallopeptidase domain 17
ADAM18	ADAM metallopeptidase domain 18
ADAM19	ADAM metallopeptidase domain 19
ADAM20	ADAM metallopeptidase domain 20
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3
ADAM21	ADAM metallopeptidase domain 21
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1
ADAM22	ADAM metallopeptidase domain 22
ADAM23	ADAM metallopeptidase domain 23
ADAM24P	ADAM metallopeptidase domain 24, pseudogene
ADAM28	ADAM metallopeptidase domain 28
ADAM29	ADAM metallopeptidase domain 29
ADAM30	ADAM metallopeptidase domain 30
ADAM32	ADAM metallopeptidase domain 32
ADAM33	ADAM metallopeptidase domain 33
ADAMDEC1	ADAM-like, decysin 1
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7
ADAMTS7P1	ADAMTS7 pseudogene 1
ADAMTS7P3	ADAMTS7 pseudogene 3
ADAMTS7P4	ADAMTS7 pseudogene 4
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
ADAMTS9-AS1	ADAMTS9 antisense RNA 1
ADAMTS9-AS2	ADAMTS9 antisense RNA 2
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19
ADAMTS19-AS1	ADAMTS19 antisense RNA 1
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20
ADAMTSL1	ADAMTS like 1
ADAMTSL2	ADAMTS like 2
ADAMTSL3	ADAMTS like 3
ADAMTSL4	ADAMTS like 4
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1
ADAMTSL5	ADAMTS like 5
ADAP1	ArfGAP with dual PH domains 1
ADAP2	ArfGAP with dual PH domains 2
ADAR	adenosine deaminase, RNA-specific
ADARB1	adenosine deaminase, RNA specific B1
ADARB2	adenosine deaminase, RNA specific B2 (inactive)
ADARB2-AS1	ADARB2 antisense RNA 1
ADAT1	adenosine deaminase, tRNA specific 1
ADAT2	adenosine deaminase, tRNA specific 2
ADAT3	adenosine deaminase, tRNA specific 3
ADCK1	aarF domain containing kinase 1
ADCK2	aarF domain containing kinase 2
ADCK3	aarF domain containing kinase 3
ADCK4	aarF domain containing kinase 4
ADCK5	aarF domain containing kinase 5
ADCP1	adenosine deaminase complexing protein 1
ADCY1	adenylate cyclase 1 (brain)
ADCY2	adenylate cyclase 2 (brain)
ADCY3	adenylate cyclase 3
ADCY4	adenylate cyclase 4
ADCY5	adenylate cyclase 5
ADCY6	adenylate cyclase 6
ADCY7	adenylate cyclase 7
ADCY8	adenylate cyclase 8 (brain)
ADCY9	adenylate cyclase 9
ADCY10	adenylate cyclase 10 (soluble)
ADCY10P1	adenylate cyclase 10 (soluble) pseudogene 1
ADCYAP1	adenylate cyclase activating polypeptide 1
ADCYAP1R1	ADCYAP receptor type I
ADD1	adducin 1
ADD2	adducin 2
ADD3	adducin 3
ADD3-AS1	ADD3 antisense RNA 1
ADFN	albinism-deafness syndrome
ADGB	androglobin
ADGRA1	adhesion G protein-coupled receptor A1
ADGRA1-AS1	adhesion G protein-coupled receptor A1 antisense RNA 1
ADGRA2	adhesion G protein-coupled receptor A2
ADGRA3	adhesion G protein-coupled receptor A3
ADGRB1	adhesion G protein-coupled receptor B1
ADGRB2	adhesion G protein-coupled receptor B2
ADGRB3	adhesion G protein-coupled receptor B3
ADGRD1	adhesion G protein-coupled receptor D1
ADGRD2	adhesion G protein-coupled receptor D2
ADGRE1	adhesion G protein-coupled receptor E1
ADGRE2	adhesion G protein-coupled receptor E2
ADGRE3	adhesion G protein-coupled receptor E3
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene
ADGRE5	adhesion G protein-coupled receptor E5
ADGRF1	adhesion G protein-coupled receptor F1
ADGRF2	adhesion G protein-coupled receptor F2
ADGRF3	adhesion G protein-coupled receptor F3
ADGRF4	adhesion G protein-coupled receptor F4
ADGRF5	adhesion G protein-coupled receptor F5
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2
ADGRG1	adhesion G protein-coupled receptor G1
ADGRG2	adhesion G protein-coupled receptor G2
ADGRG3	adhesion G protein-coupled receptor G3
ADGRG4	adhesion G protein-coupled receptor G4
ADGRG5	adhesion G protein-coupled receptor G5
ADGRG6	adhesion G protein-coupled receptor G6
ADGRG7	adhesion G protein-coupled receptor G7
ADGRL1	adhesion G protein-coupled receptor L1
ADGRL2	adhesion G protein-coupled receptor L2
ADGRL3	adhesion G protein-coupled receptor L3
ADGRL3-AS1	adhesion G protein-coupled receptor L3 antisense RNA 1
ADGRL4	adhesion G protein-coupled receptor L4
ADGRV1	adhesion G protein-coupled receptor V1
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH5P2	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2
ADH5P3	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3
ADH5P4	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4
ADH6	alcohol dehydrogenase 6 (class V)
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADHFE1	alcohol dehydrogenase, iron containing 1
ADI1	acireductone dioxygenase 1
ADIG	adipogenin
ADIPOQ	adiponectin, C1Q and collagen domain containing
ADIPOQ-AS1	ADIPOQ antisense RNA 1
ADIPOR1	adiponectin receptor 1
ADIPOR1P1	adiponectin receptor 1 pseudogene 1
ADIPOR1P2	adiponectin receptor 1 pseudogene 2
ADIPOR2	adiponectin receptor 2
ADIRF	adipogenesis regulatory factor
ADIRF-AS1	ADIRF antisense RNA 1
ADK	adenosine kinase
ADM	adrenomedullin
ADM2	adrenomedullin 2
ADM5	adrenomedullin 5 (putative)
ADNP	activity-dependent neuroprotector homeobox
ADNP-AS1	ADNP antisense RNA 1
ADNP2	ADNP homeobox 2
ADO	2-aminoethanethiol (cysteamine) dioxygenase
ADORA1	adenosine A1 receptor
ADORA2A	adenosine A2a receptor
ADORA2A-AS1	ADORA2A antisense RNA 1
ADORA2B	adenosine A2b receptor
ADORA2BP1	adenosine A2b receptor pseudogene 1
ADORA3	adenosine A3 receptor
ADPGK	ADP-dependent glucokinase
ADPGK-AS1	ADPGK antisense RNA 1
ADPRH	ADP-ribosylarginine hydrolase
ADPRHL1	ADP-ribosylhydrolase like 1
ADPRHL2	ADP-ribosylhydrolase like 2
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
ADRA1A	adrenoceptor alpha 1A
ADRA1B	adrenoceptor alpha 1B
ADRA1D	adrenoceptor alpha 1D
ADRA2A	adrenoceptor alpha 2A
ADRA2B	adrenoceptor alpha 2B
ADRA2C	adrenoceptor alpha 2C
ADRB1	adrenoceptor beta 1
ADRB2	adrenoceptor beta 2
ADRB3	adrenoceptor beta 3
ADRBK1	adrenergic, beta, receptor kinase 1
ADRBK2	adrenergic, beta, receptor kinase 2
ADRM1	adhesion regulating molecule 1
ADSL	adenylosuccinate lyase
ADSS	adenylosuccinate synthase
ADSSL1	adenylosuccinate synthase like 1
ADTRP	androgen dependent TFPI regulating protein
AEBP1	AE binding protein 1
AEBP2	AE binding protein 2
AEN	apoptosis enhancing nuclease
AES	amino-terminal enhancer of split
AF8T	AF8 temperature sensitivity complementing
AFA	ankyloblepharon filiforme adnatum
AFAP1	actin filament associated protein 1
AFAP1-AS1	AFAP1 antisense RNA 1
AFAP1L1	actin filament associated protein 1 like 1
AFAP1L2	actin filament associated protein 1 like 2
AFD1	acrofacial dysostosis 1, Nager type
AFF1	AF4/FMR2 family member 1
AFF2	AF4/FMR2 family member 2
AFF2-IT1	AFF2 intronic transcript 1
AFF3	AF4/FMR2 family member 3
AFF4	AF4/FMR2 family member 4
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene
AFG3L2	AFG3 like matrix AAA peptidase subunit 2
AFG3L2P1	AFG3 like AAA ATPase 2 pseudogene 1
AFM	afamin
AFMID	arylformamidase
AFP	alpha fetoprotein
AFTPH	aftiphilin
AGA	aspartylglucosaminidase
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
AGAP1-IT1	AGAP1 intronic transcript 1
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
AGAP2-AS1	AGAP2 antisense RNA 1
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9
AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 pseudogene
AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11
AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene
AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene
AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene
AGBL1	ATP/GTP binding protein-like 1
AGBL1-AS1	AGBL1 antisense RNA 1
AGBL2	ATP/GTP binding protein-like 2
AGBL3	ATP/GTP binding protein-like 3
AGBL4	ATP/GTP binding protein-like 4
AGBL4-IT1	AGBL4 intronic transcript 1
AGBL5	ATP/GTP binding protein-like 5
AGBL5-AS1	AGBL5 antisense RNA 1
AGBL5-IT1	AGBL5 intronic transcript 1
AGER	advanced glycosylation end product-specific receptor
