accession_number	gene	all_gene_names
Q9Y6N9	USH1C	USH1C
A8MTB9	CEACAM18	CEACAM18
Q8TAS1	UHMK1	UHMK1
P47944	MT4	MT4
Q95460	MR1	MR1
P51460	INSL3	INSL3
P01229	LHB	LHB
A6NCK2	TRIM43B	TRIM43B
Q5U5Q3	MEX3C	MEX3C
P20930	FLG	FLG
Q02930	CREB5	CREB5
Q96DE0	NUDT16	NUDT16
Q01151	CD83	CD83
Q7Z614	SNX20	SNX20
P05111	INHA	INHA
Q96LU5	IMMP1L	IMMP1L
P05112	IL4	IL4
P20933	AGA	AGA
Q15554	TERF2	TERF2
P05113	IL5	IL5
I3L273	GFY	GFY
Q96LU7	MYRFL	MYRFL
Q15555	MAPRE2	MAPRE2
P05114	HMGN1	HMGN1
Q6P0A1	FAM180B	FAM180B
P20936	RASA1	RASA1
Q96DE5	ANAPC16	ANAPC16
P10412	HIST1H1E	HIST1H1E
Q5VTR2	RNF20	RNF20
Q96DE9	CXorf40B	CXorf40B
P10415	BCL2	BCL2
O60732	MAGEC1	MAGEC1
O60733	PLA2G6	PLA2G6
Q7Z4J2	GLT6D1	GLT6D1
P16499	PDE6A	PDE6A
Q6UX82	LYPD8	LYPD8
P09001	MRPL3	MRPL3
Q6ZPB5	SDIM1	SDIM1
Q5JTB6	PLAC9	PLAC9
Q9BSH3	NICN1	NICN1
Q96S82	UBL7	UBL7
Q9BSH4	TACO1	TACO1
P03886	MT-ND1	MT-ND1
Q9BSH5	HDHD3	HDHD3
O95150	TNFSF15	TNFSF15
Q86VF2	IGFN1	IGFN1
O60739	EIF1B	EIF1B
P28702	RXRB	RXRB
O43680	TCF21	TCF21
P60660	MYL6	MYL6
Q96S86	HAPLN3	HAPLN3
Q06828	FMOD	FMOD
Q05048	CSTF1	CSTF1
O15240	VGF	VGF
O95153	TSPOAP1	TSPOAP1
Q86VF5	MOGAT3	MOGAT3
O43681	GET3	GET3
P07766	CD3E	CD3E
O95154	AKR7A3	AKR7A3
O95155	UBE4B	UBE4B
Q9H2V7	SPNS1	SPNS1
Q86VF7	NRAP	NRAP
Q8IVM0	CCDC50	CCDC50
O43683	BUB1	BUB1
Q9HC07	TMEM165	TMEM165
O95156	NXPH2	NXPH2
O15243	LEPROT	LEPROT
O43684	BUB3	BUB3
O15244	SLC22A2	SLC22A2
O95157	NXPH3	NXPH3
P25685	DNAJB1	DNAJB1
O15245	SLC22A1	SLC22A1
O95158	NXPH4	NXPH4
P25686	DNAJB2	DNAJB2
O95159	ZFPL1	ZFPL1
Q9UIW0	VAX2	VAX2
O43688	PLPP2	PLPP2
O15247	CLIC2	CLIC2
Q9UIW2	PLXNA1	PLXNA1
Q8WV92	MITD1	MITD1
Q8NFG4	FLCN	FLCN
A6NHG4	DDTL	DDTL
Q8IVM7	LINC00346	LINC00346
Q14232	EIF2B1	EIF2B1
Q8WV93	AFG1L	AFG1L
Q8IVM8	SLC22A9	SLC22A9
P30990	NTS	NTS
Q7L1I2	SV2B	SV2B
A0A286YEX9	SCYGR10	SCYGR10
P15170	GSPT1	GSPT1
P50148	GNAQ	GNAQ
Q96A11	GAL3ST3	GAL3ST3
P0DN80	OR5H8	OR5H8
A6NHG9	OR5H14	OR5H14
P15172	MYOD1	MYOD1
Q9H992	MARCH7	MARCH7
P0CF97	FAM200B	FAM200B
Q14236	DIAPH2-AS1	DIAPH2-AS1
P0DN81	OR13C7	OR13C7
P15173	MYOG	MYOG
Q9HAI6	CXorf21	CXorf21
Q9P0S2	COX16	COX16
Q9H993	ARMT1	ARMT1
Q8WV99	ZFAND2B	ZFAND2B
Q07699	SCN1B	SCN1B
Q9P0S3	ORMDL1	ORMDL1
P0DN82	OR12D1	OR12D1
Q3MIP1	ITPRIPL2	ITPRIPL2
Q9NXT0	ZNF586	ZNF586
Q99811	PRRX2	PRRX2
P68431	HIST1H3A	HIST1H3A|HIST1H3B|HIST1H3C|HIST1H3D|HIST1H3E|HIST1H3F|HIST1H3G|HIST1H3H|HIST1H3I|HIST1H3J
P0DN86	CGB3	CGB3|CGB5|CGB8
Q9H999	PANK3	PANK3
Q99814	EPAS1	EPAS1
Q8WTR2	DUSP19	DUSP19
P0DN87	CGB7	CGB7
Q96A19	CCDC102A	CCDC102A
Q0P6H9	TMEM62	TMEM62
Q9P0S9	TMEM14C	TMEM14C
Q16880	UGT8	UGT8
Q99816	TSG101	TSG101
Q8WTR4	GDPD5	GDPD5
A0A1B0GUQ0	FAM236A	FAM236A
Q9H7R0	ZNF442	ZNF442
Q16881	TXNRD1	TXNRD1
Q9NPD3	EXOSC4	EXOSC4
Q5TAB7	RIPPLY2	RIPPLY2
Q9BXD5	NPL	NPL
Q6P3V2	ZNF585A	ZNF585A
Q8WTR7	ZNF473	ZNF473
O60271	SPAG9	SPAG9
Q9NPD5	SLCO1B3	SLCO1B3
Q99819	ARHGDIG	ARHGDIG
Q96GZ6	SLC41A3	SLC41A3
Q8WTR8	NTN5	NTN5
Q9NPD7	NRN1	NRN1
Q18PE1	DOK7	DOK7
Q9H7R5	ZNF665	ZNF665
Q9NPD8	UBE2T	UBE2T
O95613	PCNT	PCNT
Q02487	DSC2	DSC2
P58400	NRXN1	NRXN1
Q9ULB1	NRXN1	NRXN1
P63220	RPS21	RPS21
O60279	SUSD5	SUSD5
O95619	YEATS4	YEATS4
Q6IBS0	TWF2	TWF2
Q9UNS1	TIMELESS	TIMELESS
P42285	MTREX	MTREX
Q9UNS2	COPS3	COPS3
P82921	MRPS21	MRPS21
Q9UFC0	LRWD1	LRWD1
P50607	TUB	TUB
Q8N2Y8	RUSC2	RUSC2
Q8NC38	ZNF436-AS1	ZNF436-AS1
A2VDF0	FUOM	FUOM
P01236	PRL	PRL
P33552	CKS2	CKS2
Q8WYN0	ATG4A	ATG4A
Q49AR2	C5orf22	C5orf22
A6NCL1	GMNC	GMNC
Q8TAT2	FGFBP3	FGFBP3
A6NCL2	LRCOL1	LRCOL1
Q8WYN3	CSRNP3	CSRNP3
Q15560	TCEA2	TCEA2
Q15561	TEAD4	TEAD4
P05120	SERPINB2	SERPINB2
P20941	PDC	PDC
Q8TAT5	NEIL3	NEIL3
Q4L180	FILIP1L	FILIP1L
Q9BU02	THTPA	THTPA
Q15562	TEAD2	TEAD2
P05121	SERPINE1	SERPINE1
Q8TAT6	NPLOC4	NPLOC4
Q2M2H8	MGAM2	MGAM2
Q7Z624	CAMKMT	CAMKMT
Q6L9T8	FAM72D	FAM72D
Q32M45	ANO4	ANO4
A6NCL7	ANKRD33B	ANKRD33B
P85037	FOXK1	FOXK1
P24821	TNC	TNC
Q7Z628	NET1	NET1
Q5U5R9	HECTD2	HECTD2
P19525	EIF2AK2	EIF2AK2
P19526	FUT1	FUT1
Q01167	FOXK2	FOXK2
Q7M4L6	SHF	SHF
Q08AM6	VAC14	VAC14
Q15569	TESK1	TESK1
Q96DF8	ESS2	ESS2
P05129	PRKCG	PRKCG
Q9NSY0	NRBP2	NRBP2
O60741	HCN1	HCN1
Q9NSY1	BMP2K	BMP2K
Q9NSY2	STARD5	STARD5
Q06830	PRDX1	PRDX1
P03891	MT-ND2	MT-ND2
Q96S90	LYSMD1	LYSMD1
P09012	SNRPA	SNRPA
Q5JTC6	AMER1	AMER1
Q9BSI4	TINF2	TINF2
Q9HC10	OTOF	OTOF
Q9H2W1	MS4A6A	MS4A6A
Q7Z4K8	TRIM46	TRIM46
O60749	SNX2	SNX2
P03897	MT-ND3	MT-ND3
Q9H2W2	MIXL1	MIXL1
Q8N7U6	EFHB	EFHB
Q96S94	CCNL2	CCNL2
Q6UX98	ZDHHC24	ZDHHC24
Q8N7U7	TPRX1	TPRX1
P09016	HOXD4	HOXD4
P81605	DCD	DCD
Q86VG3	C11orf74	C11orf74
Q7L311	ARMCX2	ARMCX2
Q96S95	CAMK2N2	CAMK2N2
Q96S96	PEBP4	PEBP4
P09017	HOXC4	HOXC4
P14314	PRKCSH	PRKCSH
Q96S97	MYADM	MYADM
Q8N7U9	LINC00469	LINC00469
O95163	ELP1	ELP1
O95164	UBL3	UBL3
O43692	PI15	PI15
Q9H2W6	MRPL46	MRPL46
P28715	ERCC5	ERCC5
Q96S99	PLEKHF1	PLEKHF1
P60673	PFN3	PFN3
P14316	IRF2	IRF2
Q9HC16	APOBEC3G	APOBEC3G
P14317	HCLS1	HCLS1
O95166	GABARAP	GABARAP
O95167	NDUFA3	NDUFA3
P50150	GNG4	GNG4
O15254	ACOX3	ACOX3
O95168	NDUFB4	NDUFB4
Q8IVN3	MUSTN1	MUSTN1
P50151	GNG10	GNG10
Q96QR1	SCGB3A1	SCGB3A1
O95169	NDUFB8	NDUFB8
Q8NFH3	NUP43	NUP43
Q14240	EIF4A2	EIF4A2
A8MWX3	WASH4P	WASH4P
O43699	SIGLEC6	SIGLEC6
O15258	RER1	RER1
Q8NFH4	NUP37	NUP37
Q14241	ELOA	ELOA
P32238	CCKAR	CCKAR
Q14242	SELPLG	SELPLG
Q8NFH5	NUP35	NUP35
O15259	NPHP1	NPHP1
P32239	CCKBR	CCKBR
Q8IVN8	SBSPON	SBSPON
Q9UIX4	KCNG1	KCNG1
A0A286YEY9	SCYGR1	SCYGR1
Q14244	MAP7	MAP7
Q8NFH8	REPS2	REPS2
Q96QR8	PURB	PURB
Q14246	ADGRE1	ADGRE1
Q96A22	C11orf52	C11orf52
P18206	VCL	VCL
Q14247	CTTN	CTTN
Q96A23	CPNE4	CPNE4
Q9HAJ7	SAP30L	SAP30L
Q01628	IFITM3	IFITM3
Q9P0T4	ZNF581	ZNF581
Q96A25	TMEM106A	TMEM106A
Q01629	IFITM2	IFITM2
Q14249	ENDOG	ENDOG
Q96A26	FAM162A	FAM162A
P51946	CCNH	CCNH
P55822	SH3BGR	SH3BGR
Q9P0T7	TMEM9	TMEM9
Q96A28	SLAMF9	SLAMF9
P51948	MNAT1	MNAT1
Q8WTS1	ABHD5	ABHD5
Q96A29	SLC35C1	SLC35C1
P23508	MCC	MCC
Q16890	TPD52L1	TPD52L1
Q05513	PRKCZ	PRKCZ
Q9NPE2	NGRN	NGRN
Q8N4A0	GALNT4	GALNT4
Q9NXU5	ARL15	ARL15
Q9NPE3	NOP10	NOP10
Q16891	IMMT	IMMT
Q8WTS6	SETD7	SETD7
Q5I0G3	MDH1B	MDH1B
Q99828	CIB1	CIB1
O60281	ZNF292	ZNF292
Q05516	ZBTB16	ZBTB16
Q66LE6	PPP2R2D	PPP2R2D
O95620	DUS4L	DUS4L
Q6P3W2	DNAJC24	DNAJC24
Q99829	CPNE1	CPNE1
Q9NPE6	SPAG4	SPAG4
O60282	KIF5C	KIF5C
P06454	PTMA	PTMA
O95622	ADCY5	ADCY5
Q9BXE9	VN1R3	VN1R3
P19075	TSPAN8	TSPAN8
O60284	ST18	ST18
Q05519	SRSF11	SRSF11
P34896	SHMT1	SHMT1
P34897	SHMT2	SHMT2
O60285	NUAK1	NUAK1
Q6P3W6	NBPF10	NBPF10
O95625	ZBTB11	ZBTB11
Q6P3W7	SCYL2	SCYL2
O60287	URB1	URB1
O95626	ANP32D	ANP32D
Q9H7S9	ZNF703	ZNF703
A4QN01	LINC01553	LINC01553
A6NMD0	IFITM10	IFITM10
O95628	CNOT4	CNOT4
P56693	SOX10	SOX10
A6NMD2	GOLGA8J	GOLGA8J
Q9UNT1	RABL2B	RABL2B
P50613	CDK7	CDK7
P82930	MRPS34	MRPS34
Q8NC42	RNF149	RNF149
P56696	KCNQ4	KCNQ4
P50616	TOB1	TOB1
P82932	MRPS6	MRPS6
Q14703	MBTPS1	MBTPS1
Q8NC44	RETREG2	RETREG2
P82933	MRPS9	MRPS9
P0C2L3	FAM163B	FAM163B
P01241	GH1	GH1
Q9Y6P5	SESN1	SESN1
P01242	GH2	GH2
Q8N2Z9	CENPS	CENPS
Q9UFD9	RIMBP3	RIMBP3
Q8TAU0	NKX2-3	NKX2-3
P49207	RPL34	RPL34
Q2M2I3	FAM83E	FAM83E
Q49AS3	LRRC37A5P	LRRC37A5P
A6NCM1	IQCA1L	IQCA1L
Q8TAU3	ZNF417	ZNF417
Q96LW1	ZNF354B	ZNF354B
Q2M2I5	KRT24	KRT24
Q96LW2	RSKR	RSKR
Q15572	TAF1C	TAF1C
Q96LW4	PRIMPOL	PRIMPOL
Q2M2I8	AAK1	AAK1
Q02952	AKAP12	AKAP12
Q8NAM6	ZSCAN4	ZSCAN4
P19532	TFE3	TFE3
Q15573	TAF1A	TAF1A
Q08AN1	ZNF616	ZNF616
Q96LW7	CARD19	CARD19
Q9NUA8	ZBTB40	ZBTB40
Q96LW9	ZSCAN31	ZSCAN31
Q96DG6	CMBL	CMBL
Q9BU19	ZNF692	ZNF692
Q5JTD0	TJAP1	TJAP1
Q5VTT2	C9orf135	C9orf135
Q6V0L0	CYP26C1	CYP26C1
Q7Z4L0	COX8C	COX8C
Q5VTT5	MYOM3	MYOM3
Q9BSJ1	TRIM51	TRIM51
Q8NH00	OR2T4	OR2T4
Q9BSJ2	TUBGCP2	TUBGCP2
Q5T481	RBM20	RBM20
Q8NH01	OR2T11	OR2T11
O60755	GALR3	GALR3
Q6Q8B3	CD200R1L	CD200R1L
Q7Z4L5	TTC21B	TTC21B
Q8NH02	OR2T29	OR2T29
Q5BLP8	C4orf48	C4orf48
Q8NH03	OR2T3	OR2T3
Q5JTD7	LRRC73	LRRC73
Q9H2X0	CHRD	CHRD
Q8NH04	OR2T27	OR2T27
P01700	IGLV1-47	IGLV1-47
Q9BSJ5	C17orf80	C17orf80
Q05066	SRY	SRY
Q9HC21	SLC25A19	SLC25A19
Q9BSJ6	PIMREG	PIMREG
Q8NH05	OR4Q3	OR4Q3
Q86VH2	KIF27	KIF27
P01701	IGLV1-51	IGLV1-51
Q6ZPD8	DGAT2L6	DGAT2L6
O60759	CYTIP	CYTIP
O95170	CDRT1	CDRT1
A8K0Z3	WASHC1	WASHC1
O95171	SCEL	SCEL
Q7Z4L9	PPP1R42	PPP1R42
Q8NH06	OR1P1	OR1P1
P61573	ERVK-9	ERVK-9
P63126	ERVK-9	ERVK-9
P63127	ERVK-9	ERVK-9
P63128	ERVK-9	ERVK-9
Q9UKH3	ERVK-9	ERVK-9
Q6ZPD9	DPY19L3	DPY19L3
Q9H2X3	CLEC4M	CLEC4M
Q9HC23	PROK2	PROK2
Q8NH07	OR11H2	OR11H2
Q86VH4	LRRTM4	LRRTM4
P01703	IGLV1-40	IGLV1-40
Q9BSJ8	ESYT1	ESYT1
A8MQ03	CYSRT1	CYSRT1
Q9HC24	TMBIM4	TMBIM4
O15260	SURF4	SURF4
Q8NH08	OR10AC1	OR10AC1
A6NJ08	MBD3L5	MBD3L5
Q86VH5	LRRTM3	LRRTM3
P01704	IGLV2-14	IGLV2-14
P14324	FDPS	FDPS
P32241	VIPR1	VIPR1
Q8NH09	OR8S1	OR8S1
P0C7H8	KRTAP2-3	KRTAP2-3
P01705	IGLV2-23	IGLV2-23
Q9H2X6	HIPK2	HIPK2
P0C7H9	USP17L7	USP17L7
P32242	OTX1	OTX1
P01706	IGLV2-11	IGLV2-11
Q9UC06	ZNF70	ZNF70
P32243	OTX2	OTX2
Q9H2X8	IFI27L2	IFI27L2
O15263	DEFB4A	DEFB4A|DEFB4B
Q9UC07	ZNF69	ZNF69
Q9H2X9	SLC12A5	SLC12A5
O15264	MAPK13	MAPK13
O95177	GAS8-AS1	GAS8-AS1
Q9HC29	NOD2	NOD2
O95178	NDUFB2	NDUFB2
P32245	MC4R	MC4R
A8MWY0	KIAA1324L	KIAA1324L
P01709	IGLV2-8	IGLV2-8
O15265	ATXN7	ATXN7
Q96QS1	TSPAN32	TSPAN32
O15266	SHOX	SHOX
P32246	CCR1	CCR1
Q8NFI3	ENGASE	ENGASE
P32247	BRS3	BRS3
Q8NFI4	ST13P5	ST13P5
Q5T2Q4	CCNYL2	CCNYL2
Q96QS3	ARX	ARX
P32248	CCR7	CCR7
O15269	SPTLC1	SPTLC1
Q9UIY3	RWDD2A	RWDD2A
P32249	GPR183	GPR183
Q96IC2	REXO5	REXO5
Q9HAK2	EBF2	EBF2
Q96QS6	PSKH2	PSKH2
P29590	PML	PML
Q14254	FLOT2	FLOT2
P23510	TNFSF4	TNFSF4
Q9P0U1	TOMM7	TOMM7
Q6VVB1	NHLRC1	NHLRC1
P23511	NFYA	NFYA
Q96A32	MYLPF	MYLPF
Q5VYP0	SPATA31A3	SPATA31A3
Q14257	RCN2	RCN2
Q96A33	CCDC47	CCDC47
Q14258	TRIM25	TRIM25
Q9P0U3	SENP1	SENP1
Q6VN20	RANBP10	RANBP10
Q01638	IL1RL1	IL1RL1
Q76I76	SSH2	SSH2
P51955	NEK2	NEK2
Q96A35	MRPL24	MRPL24
Q9P0U4	CXXC1	CXXC1
P23515	OMG	OMG
P51956	NEK3	NEK3
P29597	TYK2	TYK2
Q3MIR4	TMEM30B	TMEM30B
Q96A37	RNF166	RNF166
P51957	NEK4	NEK4
Q8WTT0	CLEC4C	CLEC4C
Q99832	CCT7	CCT7
Q9NXV2	KCTD5	KCTD5
Q8WTT2	NOC3L	NOC3L
Q9NPF0	CD320	CD320
P51959	CCNG1	CCNG1
Q99835	SMO	SMO
Q99836	MYD88	MYD88
Q9NPF2	CHST11	CHST11
Q9BXF3	CECR2	CECR2
A0A1B0GUS0	C19orf85	C19orf85
Q8N4B1	PHETA1	PHETA1
Q9H7T0	CATSPERB	CATSPERB
Q9NXV6	CDKN2AIP	CDKN2AIP
O60290	ZNF862	ZNF862
Q9NPF4	OSGEP	OSGEP
O95630	STAMBP	STAMBP
Q9BXF6	RAB11FIP5	RAB11FIP5
O60291	MGRN1	MGRN1
P41439	FOLR3	FOLR3
Q9NPF5	DMAP1	DMAP1
A0A1B0GUS4	UBE2L5	UBE2L5
Q6P3X3	TTC27	TTC27
O60292	SIPA1L3	SIPA1L3
O95631	NTN1	NTN1
Q8N4B4	FBXO39	FBXO39
Q3SXM0	DCAF4L1	DCAF4L1
Q9H7T3	C10orf95	C10orf95
Q5W041	ARMC3	ARMC3
O60293	ZFC3H1	ZFC3H1
Q8N4B5	PRR18	PRR18
Q9NPF7	IL23A	IL23A
Q9BXF9	TEKT3	TEKT3
O60294	LCMT2	LCMT2
O95633	FSTL3	FSTL3
Q9NPF8	ADAP2	ADAP2
Q53H47	SETMAR	SETMAR
P19086	GNAZ	GNAZ
O60296	TRAK2	TRAK2
P19087	GNAT2	GNAT2
Q6P3X8	PGBD2	PGBD2
Q3SXM5	HSDL1	HSDL1
Q9H7T9	AUNIP	AUNIP
Q6NSI1	ANKRD26P1	ANKRD26P1
P24385	CCND1	CCND1
O60299	LZTS3	LZTS3
P63241	EIF5A	EIF5A
P24386	CHM	CHM
P11766	ADH5	ADH5
Q6ZSY5	PPP1R3F	PPP1R3F
Q6NSI3	FAM53A	FAM53A
P24387	CRHBP	CRHBP
O95639	CPSF4	CPSF4
Q6NSI4	RADX	RADX
Q8NC51	SERBP1	SERBP1
P63244	RACK1	RACK1
P61583	ERVK-5	ERVK-5
Q9HDB8	ERVK-5	ERVK-5
Q9HDB9	ERVK-5	ERVK-5
Q5T7M4	C1QTNF12	C1QTNF12
A6NE52	WDR97	WDR97
Q9Y6Q1	CAPN6	CAPN6
Q9Y6Q2	STON1	STON1
Q9Y6Q3	ZFP37	ZFP37
Q14714	SSPN	SSPN
Q6NSI8	KIAA1841	KIAA1841
Q8NC54	C5orf15	C5orf15
Q765I0	UTS2B	UTS2B
Q9UNU6	CYP8B1	CYP8B1
Q76N32	CEP68	CEP68
Q75NE6	MIR17HG	MIR17HG
Q8NC56	LEMD2	LEMD2
Q5T7M9	DIPK1A	DIPK1A
Q9UFE4	CCDC39	CCDC39
Q9Y6Q5	AP1M2	AP1M2
Q9Y6Q6	TNFRSF11A	TNFRSF11A
P47972	NPTX2	NPTX2
Q9Y6Q9	NCOA3	NCOA3
Q5MNZ6	WDR45B	WDR45B
Q8TAV0	FAM76A	FAM76A
P47974	ZFP36L2	ZFP36L2
Q5MNZ9	WIPI1	WIPI1
Q8WYP3	RIN2	RIN2
Q8NAN2	MIGA1	MIGA1
A6NCN2	KRT87P	KRT87P
Q8TAV3	CYP2W1	CYP2W1
Q9NUB1	ACSS1	ACSS1
Q52MB2	CCDC184	CCDC184
Q8TAV4	STOML3	STOML3
Q29980	MICB	MICB
Q9BU20	CPLANE2	CPLANE2
Q8TAV5	C11orf45	C11orf45
Q8WYP5	AHCTF1	AHCTF1
Q15582	TGFBI	TGFBI
P05141	SLC25A5	SLC25A5
P20962	PTMS	PTMS
Q02962	PAX2	PAX2
P46199	MTIF2	MTIF2
Q9NUB4	C20orf141	C20orf141
Q15583	TGIF1	TGIF1
Q04206	RELA	RELA
Q29983	MICA	MICA
Q9BU23	LMF2	LMF2
P20963	CD247	CD247
P19544	WT1	WT1
A6NCN8	TEX52	TEX52
Q96LX7	CCDC17	CCDC17
Q96LX8	ZNF597	ZNF597
Q86X02	CDR2L	CDR2L
Q96DH6	MSI2	MSI2
P24844	MYL9	MYL9
O60760	HPGDS	HPGDS
Q7Z4M0	REC114	REC114
O60762	DPM1	DPM1
O60763	USO1	USO1
Q9BSK0	MARVELD1	MARVELD1
Q9BSK1	ZNF577	ZNF577
Q8NH10	OR8U1	OR8U1
O60765	ZNF354A	ZNF354A
P0C7I0	USP17L8	USP17L8
Q9BSK2	SLC25A33	SLC25A33
P42765	ACAA2	ACAA2
Q8N7W2	BEND7	BEND7
P42766	RPL35	RPL35
Q5VTU8	ATP5F1EP2	ATP5F1EP2
Q6NXE6	ARMC6	ARMC6
I3L0S3	PYCARD-AS1	PYCARD-AS1
Q9BSK4	FEM1A	FEM1A
Q9UKA1	FBXL5	FBXL5
A8MYA2	CXorf49	CXorf49|CXorf49B
P42768	WAS	WAS
Q9UKA2	FBXL4	FBXL4
Q86VI1	EXOC3L1	EXOC3L1
A8MQ11	PMS2P5	PMS2P5
O95180	CACNA1H	CACNA1H
Q8NH16	OR2L2	OR2L2
Q86VI3	IQGAP3	IQGAP3
Q9UKA4	AKAP11	AKAP11
O95182	NDUFA7	NDUFA7
Q86VI4	LAPTM4B	LAPTM4B
P0C7I6	CCDC159	CCDC159
A8MQ14	ZNF850	ZNF850
O95183	VAMP5	VAMP5
O15270	SPTLC2	SPTLC2
Q8NH18	OR5J2	OR5J2
P01714	IGLV3-19	IGLV3-19
P09038	FGF2	FGF2
Q8NH19	OR10AG1	OR10AG1
P01715	IGLV3-1	IGLV3-1
Q9HC35	EML4	EML4
Q9H2Y7	ZNF106	ZNF106
O95185	UNC5C	UNC5C
Q9UKA8	RCAN3	RCAN3
Q9HC36	MRM3	MRM3
O15273	TCAP	TCAP
Q9UKA9	PTBP2	PTBP2
P01717	IGLV3-25	IGLV3-25
Q9H2Y9	SLCO5A1	SLCO5A1
P01718	IGLV3-27	IGLV3-27
Q9HC38	GLOD4	GLOD4
Q5T2R2	PDSS1	PDSS1
Q8IVP5	FUNDC1	FUNDC1
Q6V702	CFAP299	CFAP299
A6NHJ4	ZNF860	ZNF860
Q96QT4	TRPM7	TRPM7
Q8NFJ5	GPRC5A	GPRC5A
Q8NFJ6	PROKR2	PROKR2
Q8IVP9	ZNF547	ZNF547
Q96QT6	PHF12	PHF12
Q14264	ERV3-1	ERV3-1
Q8NFJ8	BHLHE22	BHLHE22
Q96ID5	IGSF21	IGSF21
Q8NFJ9	BBS1	BBS1
Q96A44	SPSB4	SPSB4
Q9P0V3	SH3BP4	SH3BP4
P51965	UBE2E1	UBE2E1
P02585	TNNC2	TNNC2
P41440	SLC19A1	SLC19A1
Q17RA5	C21orf62-AS1	C21orf62-AS1
Q96A46	SLC25A28	SLC25A28
Q96A47	ISL2	ISL2
Q8WTU0	DDI1	DDI1
P23526	AHCY	AHCY
Q3KRA6	C2orf76	C2orf76
P23527	HIST1H2BO	HIST1H2BO
Q9NXW2	DNAJB12	DNAJB12
Q3MIS6	ZNF528	ZNF528
P16989	YBX3	YBX3
Q96A49	SYAP1	SYAP1
Q8WTU2	SSC4D	SSC4D
Q9P0V8	SLAMF8	SLAMF8
P23528	CFL1	CFL1
Q9P0V9	SEPTIN10	SEPTIN10
Q9NPG1	FZD3	FZD3
P10909	CLU	CLU
Q3KRA9	ALKBH6	ALKBH6
Q9NPG2	NGB	NGB
Q8N4C0	C9orf62	C9orf62
Q9NPG3	UBN1	UBN1
Q5T953	IER5L	IER5L
P13010	XRCC5	XRCC5
Q9NPG4	PCDH12	PCDH12
P80303	NUCB2	NUCB2
Q99848	EBNA1BP2	EBNA1BP2
A0A1B0GUT2	C10orf143	C10orf143
Q9H7U1	CCSER2	CCSER2
Q53H54	TRMT12	TRMT12
Q6ZUA9	MROH5	MROH5
Q9NXW9	ALKBH4	ALKBH4
Q9BXG8	SPZ1	SPZ1
P24390	KDELR1	KDELR1
Q9NPG8	ZDHHC4	ZDHHC4
Q8N4C6	NIN	NIN
Q8N4C7	STX19	STX19
O95644	NFATC1	NFATC1
Q8N4C8	MINK1	MINK1
Q6NSJ0	MYORG	MYORG
P24394	IL4R	IL4R
Q8N4C9	C17orf78	C17orf78
P19099	CYP11B2	CYP11B2
Q6NSJ2	PHLDB3	PHLDB3
Q5T7N2	L1TD1	L1TD1
P63252	KCNJ2	KCNJ2
Q6ZSZ5	ARHGEF18	ARHGEF18
Q6ZSZ6	TSHZ1	TSHZ1
Q8NC60	NOA1	NOA1
Q5T7N3	KANK4	KANK4
Q9Y6R0	NUMBL	NUMBL
Q6NSJ5	LRRC8E	LRRC8E
Q14721	KCNB1	KCNB1
Q9Y6R1	SLC4A4	SLC4A4
Q14722	KCNAB1	KCNAB1
P81172	HAMP	HAMP
Q09428	ABCC8	ABCC8
Q00325	SLC25A3	SLC25A3
Q9Y6R4	MAP3K4	MAP3K4
Q5T7N8	FAM27D1	FAM27D1
P49221	TGM4	TGM4
Q9Y6R6	ZNF780B	ZNF780B
Q8NC67	NETO2	NETO2
A0A0C5B5G6	MT-RNR1	MT-RNR1
P49223	SPINT3	SPINT3
Q14728	MFSD10	MFSD10
Q9Y6R7	FCGBP	FCGBP
Q8NC69	KCTD6	KCTD6
Q96F05	C11orf24	C11orf24
P01266	TG	TG
Q9Y6R9	CCDC61	CCDC61
P40121	CAPG	CAPG
Q96F07	CYFIP2	CYFIP2
Q9UFF9	CNOT8	CNOT8
P40123	CAP2	CAP2
P28288	ABCD3	ABCD3
P47985	UQCRFS1	UQCRFS1
P28289	TMOD1	TMOD1
Q9NUC0	SERTAD4	SERTAD4
Q8TAW3	ZNF671	ZNF671
Q8WYQ3	CHCHD10	CHCHD10
P40126	DCT	DCT
Q8WYQ4	C22orf15	C22orf15
Q96LY2	CCDC74B	CCDC74B
Q8WYQ5	DGCR8	DGCR8
P47989	XDH	XDH
Q6L9W6	B4GALNT3	B4GALNT3
Q86X10	RALGAPB	RALGAPB
Q8WYQ9	ZCCHC14	ZCCHC14
P05154	SERPINA5	SERPINA5
P10451	SPP1	SPP1
P05155	SERPING1	SERPING1
Q01196	RUNX1	RUNX1
Q15596	NCOA2	NCOA2
A4D250	BLACE	BLACE
Q32M78	ZNF699	ZNF699
Q9H4A3	WNK1	WNK1
A0A1W2PS18	PMIS2	PMIS2
P05156	CFI	CFI
Q96DI7	SNRNP40	SNRNP40
Q02978	SLC25A11	SLC25A11
Q9H4A4	RNPEP	RNPEP
Q15599	SLC9A3R2	SLC9A3R2
Q9H4A5	GOLPH3L	GOLPH3L
Q9H4A6	GOLPH3	GOLPH3
P24855	DNASE1	DNASE1
P42772	CDKN2B	CDKN2B
Q7Z4N2	TRPM1	TRPM1
Q6ZXV5	TMTC3	TMTC3
P42773	CDKN2C	CDKN2C
Q8N7X0	ADGB	ADGB
A4D256	CDC14C	CDC14C
